run_ts,code,name,date,title,sentiment_label,sentiment_confidence,sentiment_score,link
2026-06-21T08:52:29+09:00,162300,신스틸,2026-06-19,신스틸 투자분석 2026. 06. 19 - 주달,neutral,0.986386,0.0,https://news.google.com/rss/articles/CBMic0FVX3lxTE5KSzUzdDlLajVKdjFzSXpnVm1NaVNraXB4YzdKSDJiSU14bVZzcnVQQ1Raa2lxTkRkVnNZT1lpT2RaVHhKUHBVUHFmQjFXcjdIRW15aWlmUXd6aE5ZajdEOG9rbVMwdDlOY0FiTm02WHpOSGc?oc=5
2026-06-21T08:52:29+09:00,162300,신스틸,2026-06-17,"특징주, 신스틸-철강_중소형 테마 상승세에 13.98% ↑ - 매일경제 마켓",positive,0.993158,0.993158,https://news.google.com/rss/articles/CBMiUkFVX3lxTE10a1FPTlVBMnNEaHhSM0tpbkhYcWs2OV9KRHN0clVULUZpWDhuZ2xwdXJpM3NyNDV2MWJfaFRURUJJZ1dQU2J6M3BTek95cnVaUXc?oc=5
2026-06-21T08:52:29+09:00,002380,KCC,2026-06-19,"[장중수급포착] KCC, 외국인 6일 연속 순매수행진... 주가 +1.69% - 뉴스핌",positive,0.993741,0.993741,https://news.google.com/rss/articles/CBMiXEFVX3lxTE5hUl96a0IzNnI4Z0hpN2lELTRnV0tnbFp0cURkQmFuMl9yNFhhclBtb0k1NExDOU1Pa19WaWJnT0JnVWR2Wm5nZDN5anRXMklzV3BwbmlLcE1ZeWoz?oc=5
2026-06-21T08:52:29+09:00,002380,KCC,2026-06-16,"[IB토마토]KCC, 삼성물산 지분 8조 딜레마…EB 유동화 카드 다시 뜬다 - 뉴스토마토",neutral,0.909935,0.0,https://news.google.com/rss/articles/CBMiYEFVX3lxTE9mTUVQYWphRkhCRFdwRGdtd01oWlU0YnFzejhDb2s0Szd2RHotOEgzVTB2dGdyZEdwSDVOcVlUTFl3Zy1aR3dYT3M3SnRDRGVET3llRFB5V2RIZDRpeGlHZg?oc=5
2026-06-21T08:52:29+09:00,091590,남화토건,2026-06-18,"남화토건, 사외이사 조영환 자진사임 - 디지털투데이",neutral,0.987441,0.0,https://news.google.com/rss/articles/CBMic0FVX3lxTE9uRFZ3TG45R0hTQWkwOTVwMmxCZFBzSFhwUm5hTTByYmJIcVFDM1Jka2ZvREx6cFAyN1RPWXdmdW1SazhWc01YSC1oRDlicGFMcWlqS216cW9CbWJEZmR0TUhNRFhWOC1NOVNGbjZsc1MydHM?oc=5
2026-06-21T08:52:29+09:00,091590,남화토건,2026-06-19,"""PF 리스크 없다""...남화토건, 독보적 대금 회수력으로 '저평가 탈출' 시동 - 핀포인트뉴스",positive,0.993098,0.993098,https://news.google.com/rss/articles/CBMic0FVX3lxTE0yNXhCTWVVNjRKQzhobzdnMHZ4LWd5aEExRXVqSXhHOFpIbWh1Z0trLTF3Zy1HRTZuclNyTk9ZZ2pkMkYtY1J5d3A0NU5pQXFyWjNJR0FsT2pjQUlWVFdJWFg4N2c2cldWTG1WMktyazd1bjA?oc=5
2026-06-21T08:52:29+09:00,219130,타이거일렉,2026-06-18,"[장중수급포착] 타이거일렉, 외국인/기관 동시 순매수… 주가 +5.04% - 뉴스핌",positive,0.993636,0.993636,https://news.google.com/rss/articles/CBMiXEFVX3lxTE5ySHZCRWtKSkt3VHFLNWZwdW5tNU9DOENwWlFvZThzdFA0WUd1QXBHdGNqbFdoNVZxb01lbzZQOUJidlJmX2o1YkUxY25LeUZZZ3ZjNGRpMWsxU2VF?oc=5
2026-06-21T08:52:29+09:00,219130,타이거일렉,2026-06-19,타이거일렉 투자분석 2026. 06. 19 - 주달,neutral,0.991711,0.0,https://news.google.com/rss/articles/CBMic0FVX3lxTE54WW1JLXpsZ2NIM2tNR0piZEJuaXNhWmlJaThCRGxEdWw2QTFnRC14ODg2YmY1WXoyVEI4dDJwYnVMS1l1Wkd0V1pLcmNVOFRLVW5fSEI5SENTeVVfencxNW1WeE1KaXZaNExWSmc0c09aa28?oc=5
2026-06-21T08:52:29+09:00,049430,코메론,2026-06-15,"코메론, NH투자증권과 100억원 규모 자기주식취득 신탁계약 체결 결정 - 디지털투데이",neutral,0.900275,0.0,https://news.google.com/rss/articles/CBMic0FVX3lxTE1EbWJINXEtajFTTnJ3NkpCcHE5ZlhsQ0pkSmhQQnlERTNqa2lqejVpRnhPTlRGamVWaUtCOXowb1c0aVBQaFpsZnNXZlhWUm5iQXprZllvb2Q0Xzh6WnFvTlQ3V0NpOEZXWDMzTHlXS09icEE?oc=5
2026-06-21T08:52:29+09:00,049430,코메론,2026-06-15,"[자사주 매입] 코메론, 100억원 자사주 취득 결정 - 데일리인베스트",positive,0.980459,0.980459,https://news.google.com/rss/articles/CBMia0FVX3lxTE9jTWFnOTJsc2p5ZmJTczBpNHBpZGpFRFJtWWxTUHk3UzJ2d1R5TzhJSjVraXJDYU5sb0ZoVnhqSndCc21QdHhiLWJqQnRWWFhpa2k0VW5Ud0Q5NGtsZ05abG5YUUtZaVVRZDI00gFvQVVfeXFMTlVJdHVjSzhzNE1qelQtUTV2M1M4VHlmMVB4cmQ2MElaMVV5T2l0dHFCWjJDMDE5QUlFLU9tZ2kwYlpSbHY0TE1iVmZ5eHpzekl0ZE4tNTR6aWQ5QjctMjZQLU5qV1RZd0JFVmlkb1Vn?oc=5
2026-06-21T08:52:29+09:00,336260,두산퓨얼셀,2026-06-18,"두산퓨얼셀 주가, 6월 18일 장중 65,100원 14.89% 하락 - 톱스타뉴스",negative,0.991119,-0.991119,https://news.google.com/rss/articles/CBMickFVX3lxTE5fS1pFTHk1Tnk4RGNJOXpVaWxpRlExQzZHSi1EaUxzY1R3OU94c0M0LXNiSnNKMC1oMFhSU0Z1d3ZBd0hBeGM5Q3lwRjUtQWRYU3JLTk1qNkNfemE0REM2YUVwZXVjNExDdDd4VVM4R0JUdw?oc=5
2026-06-21T08:52:29+09:00,336260,두산퓨얼셀,2026-06-14,두산퓨얼셀 투자분석 2026. 06. 14 - 주달,neutral,0.987692,0.0,https://news.google.com/rss/articles/CBMic0FVX3lxTE9waTJXaVZ6ajk0SW5wS04zS09CYXVoSXFkQ0ljclh4dnFuUWxpTjN0S1I4Mnk3dXVXTWR5R3l6SXg5cVQ0SGpGemdQVjZ4cW4zVy1FNlVhN25rWDRfMG9tdS1rZnJCUVpaeG04R2Fsbkg4TTQ?oc=5
2026-06-21T08:52:29+09:00,104830,원익머트리얼즈,2026-06-17,"[장중수급포착] 원익머트리얼즈, 외국인/기관 동시 순매수… 주가 +3.85% - 뉴스핌",positive,0.993544,0.993544,https://news.google.com/rss/articles/CBMiXEFVX3lxTE5UbHRLNGlaSTNMWV9PZVlpcHNDLTd6cUdtWXpEQ01SZWhIVHNKNjgtVV9nSDVZdF9IbzN0Z2pYZjRRODBMYU13Z3NVdk41TVpFZTBPU2I3RTQzZWRS?oc=5
2026-06-21T08:52:29+09:00,104830,원익머트리얼즈,2026-06-17,원익머트리얼즈 투자분석 2026. 06. 17 - 주달,neutral,0.989633,0.0,https://news.google.com/rss/articles/CBMic0FVX3lxTE5CXzh0eGFTNU1KNVhxOUhGd2dGNHRPTGxMX3pXZkFUR3FjNjdVNUZKaGs1MkplOWxIb1h0bnZ0b1U1MFp3Zy1zanZVbWhpSGJDdlhWeFZrcGZZcWxaQmEzbnI5VDFyLVlBcmloS19Jc1g2OUE?oc=5
