Date,Open,High,Low,Close,Volume,code,name,ret_cc,mom_1d,mom_3d,mom_5d,mom_10d,mom_20d,vol_10d,vol_20d,dollar_volume,oc_ret,oo_ret,cc_next_ret,situation,market_mom_20d,market_vol_20d,weekday,week_key,monday_open,friday_close,monfri_open_to_fri_close_ret,score,rank,trade_return
2025-04-07,63725.45202978972,65303.7913989486,62936.28234521028,63330.8671875,89879,009450,경동나비엔,-0.048888934256150374,-0.05462185852658896,-0.09152079767639998,-0.06767955166531714,-0.11300914878139401,-0.1906474225785989,0.023136421653391987,0.020993529835980452,10970408608.710938,-0.006191950464396245,0.037151685563267645,-0.028037399318139533,flat_low_vol,-0.00166271842297816,0.00940218738510542,0,2025-04-05/2025-04-11,63725.45202978972,69446.9296875,0.08978324163217644,2.601842517830112,1.0,0.08668324163217643
2023-07-17,6000.497973111658,6010.037715517241,5800.163382594417,5809.703125,348811,009780,엠에스씨,-0.0333333143763318,-0.18075425370509224,-0.15322582420530795,-0.1286306769004273,-0.156626513453898,0.03960401224393362,0.07260922373416873,0.08179469025512427,10839487449.779297,-0.031796502384737635,-0.03815584126020166,-0.014778364454939297,flat_low_vol,-0.005966033454223751,0.007786288249558044,0,2023-07-15/2023-07-21,6000.497973111658,5762.0048828125,-0.03974554968068489,2.2098531474513208,1.0,-0.04284554968068489
2023-03-06,48962.115846238936,49664.08166482301,48786.62439159292,49576.3359375,87143,012750,에스원,0.018018012959583496,-0.014209571951896094,-0.01595743463277799,-0.012455489093010863,-0.03979232504739261,-0.05772497077241545,0.008317447804186692,0.008436493478433005,3496384709.953125,0.012544802867383575,0.008960573476702427,0.0,flat_low_vol,0.0012671929590153397,0.00869361352885076,0,2023-03-04/2023-03-10,48962.115846238936,46856.21875,-0.04301074534548943,1.684298338903639,1.0,-0.04611074534548943
2024-06-24,2190.0,2225.0,2130.0,2170.0,400065,014470,부방,-0.0091324200913242,-0.06808510638297871,-0.0331125827814569,-0.07594936708860756,0.011547344110854452,-0.002277904328018221,0.03305129190911821,0.025697478543709112,1323243990.0,-0.0091324200913242,-0.013698630136986356,0.004608294930875667,flat_low_vol,-0.001613557309759095,0.005701886836003283,0,2024-06-22/2024-06-28,2190.0,2150.0,-0.0182648401826484,2.6494858733775004,3.0,-0.0213648401826484
2023-07-24,15059.366434759124,15331.406602612837,14699.884784381002,15175.955078125,409542,014620,성광벤드,-0.0025542406267328177,-0.05090906986490962,-0.03333330644696453,-0.03571428350383421,-0.021249968982113954,0.09510489372860165,0.02467729975712764,0.022270521378033096,9543539847.82129,0.00774193548387081,0.006451542876627192,0.024327713620783564,flat_low_vol,-0.0020665757691195052,0.008094037299880173,0,2023-07-22/2023-07-28,15059.366434759124,15574.2978515625,0.03419343164496236,2.2859397407338937,3.0,0.03109343164496236
2022-12-19,80577.19934940888,81667.30802155421,78487.82439446368,78760.3515625,36324,014830,유니드,-0.026936043835402823,-0.02409627772789591,-0.047058880881175824,-0.07380452009160043,-0.08802448156466525,-0.09033132634319863,0.00964826257194459,0.01307131382102592,2455413141.0,-0.022547914317925577,-0.025930130640563154,0.004613580060160771,flat_low_vol,0.010986049626853678,0.009718234329775245,0,2022-12-17/2022-12-23,80577.19934940888,75308.3359375,-0.06538901146292486,1.8434472661145764,3.0,-0.06848901146292487
2024-03-11,70213.93164588949,71547.71053739892,69547.04220013478,70690.28125,31073,014830,유니드,0.0,-0.05717918652811249,-0.09512196121998118,-0.046272514166216916,-0.08957063091339501,-0.01721852722174766,0.033187350271153264,0.027718177126365654,7020605282.34375,0.006784260515603657,0.008141101536921491,0.0026954067678151006,flat_low_vol,0.019405720692826867,0.006482693798841207,0,2024-03-09/2024-03-15,70213.93164588949,72024.0625,0.02578022354936005,2.062876872004811,1.0,0.02268022354936005
2023-07-24,5928.5927734375,6165.61669921875,5421.5419921875,5622.5625,153849,018700,졸스,-0.05161937834702357,-0.10181820710404799,-0.11588366101945702,-0.15010756162455463,-0.16271186908199198,-0.1662447221456188,0.03197574696286891,0.028898201652904028,1796950541.0361328,-0.05161937834702357,-0.09463563678340481,-0.008004336601416195,flat_low_vol,-0.0020665757691195052,0.008094037299880173,0,2023-07-22/2023-07-28,5928.5927734375,5520.55224609375,-0.06882586524949685,3.5233405983868935,1.0,-0.07192586524949686
2025-10-13,65360.14229493647,65555.24719730942,64579.72268544469,65262.58984375,79927,023530,롯데쇼핑,0.0,-0.04154725607482379,-0.055084709815280464,-0.04836417882563093,-0.07596687573233918,0.004504547837094419,0.014158844259205279,0.013905912396573954,6280871646.5625,-0.0014925373134327957,-0.007462686567164201,0.0,flat_low_vol,0.014900562602443879,0.006045044824193007,0,2025-10-11/2025-10-17,65360.14229493647,65262.58984375,-0.0014925373134327957,2.9877403862446257,2.0,-0.004592537313432796
2025-05-26,1980.0,2278.0,1962.0,2074.0,6253138,027740,마니커,0.04747474747474745,-0.1421143847487002,-0.07042253521126762,0.15925058548009363,0.15519253208868156,0.15654205607476634,0.11314316762171484,0.07865631556907844,9181234260.0,0.04747474747474745,0.04949494949494948,-0.03664416586306651,flat_low_vol,0.015886059403599218,0.0068225431302252485,0,2025-05-24/2025-05-30,1980.0,1894.0,-0.04343434343434338,1.8067765279940031,2.0,-0.04653434343434338
