situation,momentum_col,vol_col,mode,return_col,top_n,min_dollar_volume,min_abs_momentum,objective,train_test_return_gap_pct,train_test_sharpe_gap,train_days,train_active_days,train_total_trades,train_final_value_krw,train_total_return_pct,train_cagr_pct,train_max_drawdown_pct,train_sharpe,train_win_rate_pct,train_profit_factor,test_days,test_active_days,test_total_trades,test_final_value_krw,test_total_return_pct,test_cagr_pct,test_max_drawdown_pct,test_sharpe,test_win_rate_pct,test_profit_factor
down_high_vol,mom_20d,vol_20d,reversal,oo_ret,10,1000000000,0.0,-3.5314,45.31,0.379,200,199,1990,535690.64,-46.43,-19.4,-51.21,-1.661,46.73,0.76,6,6,60,988774.28,-1.12,-1.75,-1.04,-1.282,50.0,0.797
down_high_vol,mom_20d,vol_20d,reversal,oo_ret,10,1000000000,0.03,-3.5554,45.58,0.395,200,199,1988,533004.95,-46.7,-19.54,-51.46,-1.677,46.73,0.758,6,6,60,988774.28,-1.12,-1.75,-1.04,-1.282,50.0,0.797
down_high_vol,mom_20d,vol_20d,reversal,oo_ret,3,100000000,0.0,-3.6819,3.8,4.563,200,200,600,917398.51,-8.26,-2.94,-39.28,0.02,47.0,1.003,6,6,18,955409.74,-4.46,-6.9,-4.37,-4.543,50.0,0.459
down_high_vol,mom_20d,vol_20d,reversal,oo_ret,3,100000000,0.03,-3.6819,3.8,4.563,200,200,600,917398.51,-8.26,-2.94,-39.28,0.02,47.0,1.003,6,6,18,955409.74,-4.46,-6.9,-4.37,-4.543,50.0,0.459
down_high_vol,mom_1d,vol_20d,reversal,oo_ret,10,100000000,0.03,-3.8607,33.24,2.911,200,200,1864,645242.18,-35.48,-14.05,-58.95,-0.683,48.5,0.874,6,6,60,977617.6,-2.24,-3.49,-0.77,-3.594,50.0,0.479
down_high_vol,mom_20d,vol_20d,reversal,oo_ret,10,100000000,0.0,-3.8781,40.09,1.193,200,200,1994,575199.37,-42.48,-17.4,-50.91,-1.415,46.5,0.793,6,6,60,976148.52,-2.39,-3.71,-4.35,-2.608,50.0,0.67
down_high_vol,mom_20d,vol_20d,reversal,oo_ret,10,100000000,0.03,-3.8781,40.09,1.193,200,200,1994,575199.37,-42.48,-17.4,-50.91,-1.415,46.5,0.793,6,6,60,976148.52,-2.39,-3.71,-4.35,-2.608,50.0,0.67
down_high_vol,mom_1d,vol_20d,reversal,oc_ret,10,100000000,0.03,-3.9704,44.04,1.652,200,200,1864,544834.68,-45.52,-18.93,-60.98,-1.204,46.5,0.782,6,6,60,985232.42,-1.48,-2.31,-1.3,-2.856,50.0,0.648
down_high_vol,mom_20d,vol_20d,momentum,cc_next_ret,3,100000000,0.0,-3.9872,111.28,24.052,200,200,598,114982.85,-88.5,-52.64,-88.99,-4.27,35.5,0.442,6,6,18,1227832.25,22.78,37.95,-0.37,19.782,83.33,57.799
down_high_vol,mom_1d,vol_20d,reversal,oc_ret,3,100000000,0.03,-4.0107,36.46,2.507,200,200,590,606243.79,-39.38,-15.88,-55.18,-0.779,39.0,0.858,6,6,18,970799.79,-2.92,-4.54,-2.42,-3.286,50.0,0.599
