w_mom,w_lv,w_rsi,w_vol,tr_sharpe,tr_cumret,tr_annual,tr_mdd,te_sharpe,te_cumret,te_annual,te_mdd,te_winrate
0.0,0.05,0.1,0.8500000000000001,0.2905562,0.12759173,0.04366839,-0.30860385,3.0189254,3.9171205,1.9415643,-0.122620694,0.5564516
0.0,0.05,0.15000000000000002,0.8,0.19417231,0.041307688,0.014511466,-0.35239464,2.6497228,3.1478033,1.6213317,-0.15328003,0.5241935
0.0,0.05,0.2,0.75,0.049026664,-0.077982485,-0.02848494,-0.39910516,2.7338912,3.377862,1.7189634,-0.13098937,0.53763443
0.0,0.05,0.25,0.7000000000000001,-0.37510973,-0.35087234,-0.14256293,-0.4965061,2.6287136,3.219574,1.651973,-0.15847486,0.5107527
0.0,0.05,0.30000000000000004,0.65,-0.079960905,-0.17300272,-0.065375745,-0.34653452,2.5554798,2.970818,1.5450299,-0.14706926,0.5188172
0.0,0.05,0.35000000000000003,0.6000000000000001,-0.20855,-0.25152063,-0.09797925,-0.40967897,2.6517444,3.2230906,1.65347,-0.14678515,0.52956986
0.0,0.05,0.4,0.55,-0.55523753,-0.44090158,-0.18693936,-0.54381096,2.7472863,3.3828802,1.7210743,-0.17943016,0.5322581
0.0,0.05,0.45,0.5,-0.23656134,-0.27054906,-0.10620916,-0.45131192,2.7460525,3.3405018,1.7032232,-0.18146414,0.5403226
0.0,0.05,0.5,0.45,-0.48516735,-0.3929369,-0.16276771,-0.53829247,2.4753392,2.612463,1.3870792,-0.17423262,0.5322581
0.0,0.05,0.55,0.4,-0.32818592,-0.31137317,-0.12434453,-0.4911814,2.2017233,2.1321445,1.1671693,-0.17953591,0.52956986
0.0,0.05,0.6000000000000001,0.35000000000000003,-0.31349823,-0.2956859,-0.11729586,-0.4809271,2.3258538,2.346105,1.2663829,-0.16024584,0.5510753
0.0,0.05,0.65,0.30000000000000004,-0.36839715,-0.32749033,-0.13169491,-0.49848637,2.2881238,2.324728,1.2565644,-0.162176,0.5564516
0.0,0.05,0.7000000000000001,0.25,-0.4540819,-0.36718464,-0.1502952,-0.5224282,1.993071,1.7386191,0.9787568,-0.19367413,0.5564516
0.0,0.05,0.75,0.2,-0.13932842,-0.19821829,-0.075620115,-0.45674506,2.0815797,1.6210921,0.92082584,-0.21456757,0.5672043
0.0,0.05,0.8,0.15000000000000002,0.056128237,-0.061089754,-0.022186458,-0.37038717,1.7953497,1.2603338,0.73749423,-0.2389141,0.5672043
0.0,0.05,0.8500000000000001,0.1,0.03946505,-0.07018584,-0.025568843,-0.35043186,1.9860306,1.399282,0.8091494,-0.1962804,0.577957
0.0,0.05,0.9,0.05,-0.46908882,-0.34736264,-0.14091575,-0.4896019,1.2803484,0.70027673,0.43271053,-0.24152608,0.54569894
0.0,0.05,0.9500000000000001,0.0,0.37233678,0.19148135,0.06434369,-0.4350985,1.2206973,0.62344694,0.3885286,-0.22148511,0.51344085
0.0,0.1,0.0,0.9,0.014086428,-0.066868484,-0.024332821,-0.341368,2.3790355,2.1395867,1.1706564,-0.1607271,0.5430108
0.0,0.1,0.05,0.8500000000000001,0.024283634,-0.05709088,-0.020706236,-0.34714305,2.2624967,1.6668799,0.943493,-0.12044628,0.5403226
0.0,0.1,0.1,0.8,-0.19209561,-0.19337207,-0.07363534,-0.44937682,2.2741985,1.8037758,1.0105274,-0.10273401,0.5268817
0.0,0.1,0.15000000000000002,0.75,-0.43457738,-0.32058585,-0.12853229,-0.49656224,2.170756,1.8257754,1.0212007,-0.18840277,0.5322581
0.0,0.1,0.2,0.7000000000000001,-0.6534247,-0.4290297,-0.1808359,-0.5771584,2.6723955,2.6384008,1.3986764,-0.16456504,0.53763443
0.0,0.1,0.25,0.65,-0.45927384,-0.3379029,-0.13650417,-0.49460676,2.5629492,2.5459402,1.3572123,-0.15533921,0.53763443
0.0,0.1,0.30000000000000004,0.6000000000000001,-0.35795084,-0.29045707,-0.114968956,-0.46156487,2.4559746,2.3103502,1.2499492,-0.13923016,0.5322581
0.0,0.1,0.35000000000000003,0.55,-0.53856665,-0.3788867,-0.15592152,-0.4960289,2.0427303,1.5473547,0.8840518,-0.1615678,0.5268817
0.0,0.1,0.4,0.5,-0.5628868,-0.38653713,-0.1596368,-0.48506567,1.7955848,1.3678899,0.7930802,-0.15837957,0.52956986
0.0,0.1,0.45,0.45,-0.46417862,-0.3337385,-0.13457495,-0.41140667,2.0623446,1.7159743,0.96765816,-0.16248702,0.53763443
0.0,0.1,0.5,0.4,-0.5191885,-0.3672766,-0.15033913,-0.47773555,1.8760202,1.2908518,0.75335133,-0.17408738,0.5268817
0.0,0.1,0.55,0.35000000000000003,-0.4073316,-0.3098647,-0.12366223,-0.44756204,2.0327392,1.4495103,0.83472025,-0.14444861,0.5403226
0.0,0.1,0.6000000000000001,0.30000000000000004,-0.291369,-0.24998647,-0.09732163,-0.4499803,1.793449,1.1694963,0.6898807,-0.15579057,0.5403226
0.0,0.1,0.65,0.25,-0.3024349,-0.25166452,-0.09804094,-0.42004633,1.4254174,0.7787057,0.4771527,-0.18065956,0.5483871
0.0,0.1,0.7000000000000001,0.2,-0.28418556,-0.23759633,-0.09204185,-0.40218574,1.086574,0.5138111,0.3242929,-0.19394384,0.5322581
