Date,picks,daily_return,equity
2022-05-19,0,0.0,1143643.365994945
2022-05-20,0,0.0,1143643.365994945
2022-05-23,0,0.0,1143643.365994945
2022-05-24,0,0.0,1143643.365994945
2022-05-25,0,0.0,1143643.365994945
2022-05-26,0,0.0,1143643.365994945
2022-05-27,0,0.0,1143643.365994945
2022-05-30,0,0.0,1143643.365994945
2022-05-31,0,0.0,1143643.365994945
2022-06-02,0,0.0,1143643.365994945
2022-06-03,0,0.0,1143643.365994945
2022-06-07,0,0.0,1143643.365994945
2022-06-08,0,0.0,1143643.365994945
2022-06-09,0,0.0,1143643.365994945
2022-06-10,3,-0.05812119015151778,1077173.452454431
2022-06-13,3,-0.014583869635863639,1061464.0952486224
2022-06-14,0,0.0,1061464.0952486224
2022-06-15,0,0.0,1061464.0952486224
2022-06-16,0,0.0,1061464.0952486224
2022-06-17,0,0.0,1061464.0952486224
2022-06-20,0,0.0,1061464.0952486224
2022-06-21,0,0.0,1061464.0952486224
2022-06-22,0,0.0,1061464.0952486224
2022-06-23,0,0.0,1061464.0952486224
2022-06-24,0,0.0,1061464.0952486224
2022-06-27,0,0.0,1061464.0952486224
2022-06-28,0,0.0,1061464.0952486224
2022-06-29,0,0.0,1061464.0952486224
2022-06-30,0,0.0,1061464.0952486224
2022-07-01,0,0.0,1061464.0952486224
2022-07-04,0,0.0,1061464.0952486224
2022-07-05,0,0.0,1061464.0952486224
2022-07-06,0,0.0,1061464.0952486224
2022-07-07,0,0.0,1061464.0952486224
2022-07-08,0,0.0,1061464.0952486224
2022-07-11,0,0.0,1061464.0952486224
2022-07-12,0,0.0,1061464.0952486224
2022-07-13,0,0.0,1061464.0952486224
2022-07-14,0,0.0,1061464.0952486224
2022-07-15,0,0.0,1061464.0952486224
2022-07-18,0,0.0,1061464.0952486224
2022-07-19,3,0.014163899282891369,1076498.5657861293
2022-07-20,3,-0.007728307112715704,1068179.0542633361
2022-07-21,0,0.0,1068179.0542633361
2022-07-22,0,0.0,1068179.0542633361
2022-07-25,0,0.0,1068179.0542633361
2022-07-26,0,0.0,1068179.0542633361
2022-07-27,0,0.0,1068179.0542633361
2022-07-28,0,0.0,1068179.0542633361
2022-07-29,0,0.0,1068179.0542633361
2022-08-01,0,0.0,1068179.0542633361
2022-08-02,0,0.0,1068179.0542633361
2022-08-03,0,0.0,1068179.0542633361
2022-08-04,0,0.0,1068179.0542633361
2022-08-05,0,0.0,1068179.0542633361
2022-08-08,0,0.0,1068179.0542633361
2022-08-09,0,0.0,1068179.0542633361
2022-08-10,0,0.0,1068179.0542633361
2022-08-11,0,0.0,1068179.0542633361
2022-08-12,0,0.0,1068179.0542633361
2022-08-16,0,0.0,1068179.0542633361
2022-08-17,0,0.0,1068179.0542633361
2022-08-18,0,0.0,1068179.0542633361
2022-08-19,0,0.0,1068179.0542633361
2022-08-22,0,0.0,1068179.0542633361
2022-08-23,0,0.0,1068179.0542633361
2022-08-24,0,0.0,1068179.0542633361
2022-08-25,0,0.0,1068179.0542633361
2022-08-26,0,0.0,1068179.0542633361
2022-08-29,0,0.0,1068179.0542633361
2022-08-30,3,0.0035396700881815224,1071960.055710534
2022-08-31,3,-0.04556052876689606,1023120.9887553707
2022-09-01,3,-0.013971454833339324,1008826.5000719336
2022-09-02,3,-0.0010172563967057356,1007800.2648615692
2022-09-05,0,0.0,1007800.2648615692
2022-09-06,0,0.0,1007800.2648615692
2022-09-07,0,0.0,1007800.2648615692
2022-09-08,0,0.0,1007800.2648615692
2022-09-13,0,0.0,1007800.2648615692
2022-09-14,0,0.0,1007800.2648615692
2022-09-15,0,0.0,1007800.2648615692
2022-09-16,0,0.0,1007800.2648615692
2022-09-19,0,0.0,1007800.2648615692
2022-09-20,0,0.0,1007800.2648615692
2022-09-21,0,0.0,1007800.2648615692
2022-09-22,0,0.0,1007800.2648615692
2022-09-23,0,0.0,1007800.2648615692
2022-09-26,0,0.0,1007800.2648615692
2022-09-27,0,0.0,1007800.2648615692
2022-09-28,0,0.0,1007800.2648615692
2022-09-29,0,0.0,1007800.2648615692
2022-09-30,0,0.0,1007800.2648615692
2022-10-04,0,0.0,1007800.2648615692
2022-10-05,0,0.0,1007800.2648615692
2022-10-06,0,0.0,1007800.2648615692
2022-10-07,0,0.0,1007800.2648615692
2022-10-11,0,0.0,1007800.2648615692
2022-10-12,0,0.0,1007800.2648615692
2022-10-13,0,0.0,1007800.2648615692
2022-10-14,0,0.0,1007800.2648615692
2022-10-17,0,0.0,1007800.2648615692
2022-10-18,0,0.0,1007800.2648615692
2022-10-19,0,0.0,1007800.2648615692
2022-10-20,0,0.0,1007800.2648615692
2022-10-21,0,0.0,1007800.2648615692
2022-10-24,0,0.0,1007800.2648615692
2022-10-25,0,0.0,1007800.2648615692
2022-10-26,0,0.0,1007800.2648615692
2022-10-27,0,0.0,1007800.2648615692
2022-10-28,3,0.0167788408853207,1024709.9851498655
2022-10-31,3,-0.010264636418498403,1014191.7097178972
2022-11-01,3,-0.011274459621794602,1002757.246237924
2022-11-02,0,0.0,1002757.246237924
2022-11-03,3,0.059788657369496456,1062710.7556580228
2022-11-04,3,-0.03375173341794788,1026842.4255326673
2022-11-07,3,-0.005688539064472576,1021001.192281967
2022-11-08,3,-0.0017056746268419847,1019259.6964543164
2022-11-09,0,0.0,1019259.6964543164
2022-11-10,0,0.0,1019259.6964543164
2022-11-11,0,0.0,1019259.6964543164
2022-11-14,0,0.0,1019259.6964543164
2022-11-15,0,0.0,1019259.6964543164
2022-11-16,0,0.0,1019259.6964543164
2022-11-17,0,0.0,1019259.6964543164
2022-11-18,0,0.0,1019259.6964543164
2022-11-21,0,0.0,1019259.6964543164
2022-11-22,0,0.0,1019259.6964543164
2022-11-23,0,0.0,1019259.6964543164
2022-11-24,0,0.0,1019259.6964543164
2022-11-25,0,0.0,1019259.6964543164
2022-11-28,0,0.0,1019259.6964543164
2022-11-29,0,0.0,1019259.6964543164
2022-11-30,0,0.0,1019259.6964543164
2022-12-01,0,0.0,1019259.6964543164
2022-12-02,0,0.0,1019259.6964543164
2022-12-05,0,0.0,1019259.6964543164
2022-12-06,0,0.0,1019259.6964543164
2022-12-07,0,0.0,1019259.6964543164
2022-12-08,0,0.0,1019259.6964543164
2022-12-09,0,0.0,1019259.6964543164
2022-12-12,3,-0.0009009975524311968,1018341.3459625193
2022-12-13,3,0.01877820724799165,1037463.9708062022
2022-12-14,0,0.0,1037463.9708062022
2022-12-15,0,0.0,1037463.9708062022
2022-12-16,0,0.0,1037463.9708062022
2022-12-19,0,0.0,1037463.9708062022
2022-12-20,0,0.0,1037463.9708062022
2022-12-21,3,-0.007664553198211879,1029512.2730107298
2022-12-22,0,0.0,1029512.2730107298
2022-12-23,0,0.0,1029512.2730107298
2022-12-26,0,0.0,1029512.2730107298
2022-12-27,3,-0.02087558457087969,1008020.6024887357
2022-12-28,3,-0.03780103671639946,969916.3786831719
2022-12-29,3,-0.026278199866101665,944428.7222307299
2023-01-02,0,0.0,944428.7222307299
2023-01-03,0,0.0,944428.7222307299
2023-01-04,0,0.0,944428.7222307299
2023-01-05,0,0.0,944428.7222307299
2023-01-06,0,0.0,944428.7222307299
2023-01-09,3,0.0037443743328271785,947965.0168974354
2023-01-10,3,0.0373613430434988,983382.2630869765
2023-01-11,3,0.006120617725925086,989401.169997787
2023-01-12,3,-0.00047668152766982083,988929.5407365941
2023-01-13,3,0.038910889201534654,1027409.6685243204
2023-01-16,3,-0.009544051244869315,1017604.01799845
2023-01-17,3,-0.009773818981604019,1007658.1405315803
2023-01-18,3,0.001083353181862618,1008749.790184355
2023-01-19,0,0.0,1008749.790184355
2023-01-20,0,0.0,1008749.790184355
2023-01-25,0,0.0,1008749.790184355
2023-01-26,0,0.0,1008749.790184355
2023-01-27,0,0.0,1008749.790184355
2023-01-30,0,0.0,1008749.790184355
2023-01-31,0,0.0,1008749.790184355
2023-02-01,0,0.0,1008749.790184355
2023-02-02,0,0.0,1008749.790184355
2023-02-03,0,0.0,1008749.790184355
2023-02-06,0,0.0,1008749.790184355
2023-02-07,0,0.0,1008749.790184355
2023-02-08,0,0.0,1008749.790184355
2023-02-09,0,0.0,1008749.790184355
2023-02-10,0,0.0,1008749.790184355
2023-02-13,0,0.0,1008749.790184355
2023-02-14,0,0.0,1008749.790184355
2023-02-15,0,0.0,1008749.790184355
2023-02-16,0,0.0,1008749.790184355
2023-02-17,0,0.0,1008749.790184355
2023-02-20,0,0.0,1008749.790184355
2023-02-21,0,0.0,1008749.790184355
2023-02-22,0,0.0,1008749.790184355
2023-02-23,0,0.0,1008749.790184355
2023-02-24,0,0.0,1008749.790184355
2023-02-27,0,0.0,1008749.790184355
2023-02-28,0,0.0,1008749.790184355
2023-03-02,0,0.0,1008749.790184355
2023-03-03,0,0.0,1008749.790184355
2023-03-06,0,0.0,1008749.790184355
2023-03-07,0,0.0,1008749.790184355
2023-03-08,0,0.0,1008749.790184355
2023-03-09,0,0.0,1008749.790184355
2023-03-10,0,0.0,1008749.790184355
2023-03-13,0,0.0,1008749.790184355
2023-03-14,0,0.0,1008749.790184355
2023-03-15,0,0.0,1008749.790184355
2023-03-16,0,0.0,1008749.790184355
2023-03-17,0,0.0,1008749.790184355
2023-03-20,0,0.0,1008749.790184355
2023-03-21,0,0.0,1008749.790184355
2023-03-22,0,0.0,1008749.790184355
2023-03-23,0,0.0,1008749.790184355
2023-03-24,0,0.0,1008749.790184355
2023-03-27,0,0.0,1008749.790184355
2023-03-28,0,0.0,1008749.790184355
2023-03-29,3,0.03147065971963824,1040495.8115735032
2023-03-30,3,0.0035235759068104346,1044162.0775463007
2023-03-31,3,0.028077845713427595,1073479.8992594578
2023-04-03,3,0.00685192266697975,1080835.3005137409
2023-04-04,3,0.021049672130527063,1103586.5292166546
2023-04-05,3,-0.056133334063612365,1041638.5379040338
2023-04-06,3,-0.005010219675262651,1036419.7000069153
2023-04-07,3,-0.021969688030953605,1013649.8825286289
2023-04-10,0,0.0,1013649.8825286289
2023-04-11,0,0.0,1013649.8825286289
2023-04-12,0,0.0,1013649.8825286289
2023-04-13,0,0.0,1013649.8825286289
2023-04-14,0,0.0,1013649.8825286289
2023-04-17,0,0.0,1013649.8825286289
2023-04-18,0,0.0,1013649.8825286289
2023-04-19,0,0.0,1013649.8825286289
2023-04-20,0,0.0,1013649.8825286289
2023-04-21,0,0.0,1013649.8825286289
2023-04-24,0,0.0,1013649.8825286289
2023-04-25,0,0.0,1013649.8825286289
2023-04-26,0,0.0,1013649.8825286289
2023-04-27,0,0.0,1013649.8825286289
2023-04-28,0,0.0,1013649.8825286289
2023-05-02,0,0.0,1013649.8825286289
2023-05-03,3,-0.00838223144956119,1005153.2346044534
2023-05-04,3,0.013094355882372578,1018315.068774682
2023-05-08,0,0.0,1018315.068774682
2023-05-09,0,0.0,1018315.068774682
2023-05-10,0,0.0,1018315.068774682
2023-05-11,0,0.0,1018315.068774682
2023-05-12,0,0.0,1018315.068774682
2023-05-15,0,0.0,1018315.068774682
2023-05-16,0,0.0,1018315.068774682
2023-05-17,0,0.0,1018315.068774682
2023-05-18,0,0.0,1018315.068774682
2023-05-19,0,0.0,1018315.068774682
2023-05-22,0,0.0,1018315.068774682
2023-05-23,0,0.0,1018315.068774682
2023-05-24,0,0.0,1018315.068774682
2023-05-25,0,0.0,1018315.068774682
2023-05-26,0,0.0,1018315.068774682
2023-05-30,0,0.0,1018315.068774682
2023-05-31,0,0.0,1018315.068774682
2023-06-01,0,0.0,1018315.068774682
2023-06-02,0,0.0,1018315.068774682
2023-06-05,0,0.0,1018315.068774682
2023-06-07,0,0.0,1018315.068774682
2023-06-08,0,0.0,1018315.068774682
2023-06-09,0,0.0,1018315.068774682
