Date,picks,daily_return,equity
2025-07-14,0,0.0,1450204.893201991
2025-07-21,0,0.0,1450204.893201991
2025-07-28,0,0.0,1450204.893201991
2025-08-04,3,0.07430034208288179,1557955.612857168
2025-08-11,0,0.0,1557955.612857168
2025-08-18,0,0.0,1557955.612857168
2025-08-25,0,0.0,1557955.612857168
2025-09-01,3,0.051380931696127737,1638004.8237869812
2025-09-08,0,0.0,1638004.8237869812
2025-09-15,0,0.0,1638004.8237869812
2025-09-22,0,0.0,1638004.8237869812
2025-09-29,0,0.0,1638004.8237869812
2025-10-13,3,0.012977986864701448,1659262.8288744062
2025-10-20,3,0.018544838964073766,1690033.5908349555
2025-10-27,3,0.031079357502629756,1742558.7489959681
2025-11-03,0,0.0,1742558.7489959681
2025-11-10,3,0.029697852308549443,1794309.001362621
2025-11-17,0,0.0,1794309.001362621
2025-11-24,0,0.0,1794309.001362621
2025-12-01,0,0.0,1794309.001362621
2025-12-08,0,0.0,1794309.001362621
2025-12-15,0,0.0,1794309.001362621
2025-12-22,0,0.0,1794309.001362621
2025-12-29,0,0.0,1794309.001362621
