code,name,status,rows
092870,엑시콘,PASS,974.0
000670,영풍,PASS,974.0
103840,우양,PASS,974.0
003960,사조대림,PASS,974.0
086390,유니테스트,PASS,974.0
280360,롯데웰푸드,PASS,974.0
023410,유진기업,PASS,974.0
005300,롯데칠성,PASS,974.0
092780,DYP,PASS,974.0
079810,APS이노베이션,PASS,974.0
058970,엠로,PASS,974.0
090410,덕신이피씨,PASS,974.0
084670,동양고속,PASS,974.0
001560,제일연마,PASS,974.0
317690,퀀타매트릭스,PASS,974.0
102260,동성케미컬,PASS,974.0
228850,레이언스,PASS,974.0
032790,엠젠솔루션,PASS,974.0
002460,HS화성,PASS,974.0
059100,아이컴포넌트,PASS,974.0
187220,디티앤씨,PASS,974.0
451250,삐아,PASS,404.0
241710,코스메카코리아,PASS,974.0
014710,사조씨푸드,PASS,974.0
020150,롯데에너지머티리얼즈,PASS,974.0
457370,한켐,PASS,290.0
246960,SCL사이언스,PASS,974.0
005880,대한해운,PASS,974.0
005940,NH투자증권,PASS,974.0
054040,한국컴퓨터,PASS,974.0
388790,라이콤,PASS,974.0
071850,캐스텍코리아,PASS,974.0
006380,카프로,PASS,974.0
101680,한국정밀기계,PASS,974.0
080530,코디,PASS,974.0
298380,에이비엘바이오,PASS,974.0
475430,키스트론,PASS,141.0
189690,포시에스,PASS,974.0
036030,케이티알파,PASS,974.0
214370,케어젠,PASS,974.0
003240,태광산업,PASS,974.0
024910,경창산업,PASS,974.0
088790,진도,PASS,974.0
006040,동원산업,PASS,974.0
487570,HS효성,PASS,344.0
344820,KCC글라스,PASS,974.0
003520,영진약품,PASS,974.0
004140,동방,PASS,974.0
424760,벨로크,PASS,840.0
100660,서암기계공업,PASS,974.0
328380,솔트웨어,PASS,820.0
005360,모나미,PASS,974.0
027710,팜스토리,PASS,974.0
112290,와이씨켐,PASS,846.0
101730,위메이드맥스,PASS,974.0
403850,더핑크퐁컴퍼니,PASS,29.0
396470,워트,PASS,530.0
001570,금양,PASS,974.0
348080,큐라티스,PASS,616.0
257370,피엔티엠에스,PASS,974.0
049430,코메론,PASS,974.0
038620,위즈코프,PASS,974.0
009450,경동나비엔,PASS,974.0
187270,신화콘텍,PASS,974.0
016250,SGC E&C,PASS,974.0
039740,한국정보공학,PASS,974.0
307930,컴퍼니케이,PASS,974.0
047080,한빛소프트,PASS,974.0
102370,케이옥션,PASS,960.0
391710,코닉오토메이션,PASS,974.0
123750,알톤,PASS,974.0
464580,닷밀,PASS,274.0
023530,롯데쇼핑,PASS,974.0
038060,루멘스,PASS,974.0
035290,골드앤에스,PASS,974.0
006370,대구백화점,PASS,974.0
049480,오픈베이스,PASS,974.0
001510,SK증권,PASS,974.0
316140,우리금융지주,PASS,974.0
030200,KT,PASS,974.0
208350,지란지교시큐리티,PASS,974.0
009200,무림페이퍼,PASS,974.0
432430,와이랩,PASS,591.0
387570,파인메딕스,PASS,244.0
036420,콘텐트리중앙,PASS,974.0
099520,DGI,NO_DATA,
002320,한진,PASS,974.0
095570,AJ네트웍스,PASS,974.0
012610,경인양행,PASS,974.0
091590,남화토건,PASS,974.0
041910,폴라리스AI파마,PASS,974.0
052710,아모텍,PASS,974.0
061250,화일약품,PASS,974.0
020180,대신정보통신,PASS,974.0
228760,지노믹트리,PASS,974.0
066700,테라젠이텍스,PASS,974.0
446540,메가터치,PASS,520.0
092070,디엔에프,PASS,974.0
161390,한국타이어앤테크놀로지,PASS,974.0
069920,엑시온그룹,PASS,974.0
252500,세화피앤씨,PASS,974.0
256940,킵스파마,PASS,974.0
131290,티에스이,PASS,974.0
004410,서울식품,PASS,974.0
333430,일승,PASS,974.0
056730,CNT85,PASS,974.0
000120,CJ대한통운,PASS,974.0
303530,이노뎁,PASS,974.0
004270,남성,PASS,974.0
018290,브이티,PASS,974.0
355150,코스텍시스,PASS,663.0
002380,KCC,PASS,974.0
216080,제테마,PASS,974.0
198440,강동씨앤엘,PASS,974.0
008250,이건산업,PASS,974.0
474610,RF시스템즈,PASS,243.0
037440,희림,PASS,974.0
331380,포커스에이아이,PASS,974.0
007540,샘표,PASS,974.0
199820,제일일렉트릭,PASS,974.0
078350,한양디지텍,PASS,974.0
307870,비투엔,PASS,974.0
214320,이노션,PASS,974.0
063160,종근당바이오,PASS,974.0
432980,엠에프씨,PASS,244.0
058110,멕아이씨에스,PASS,974.0
215090,솔디펜스,PASS,974.0
083790,CG인바이츠,PASS,974.0
357550,석경에이티,PASS,974.0
376290,씨유테크,PASS,974.0
377480,마음AI,PASS,974.0
254120,자비스,PASS,974.0
096240,크레버스,PASS,974.0
096870,엘디티,PASS,974.0
033560,블루콤,PASS,974.0
307180,아이엘,PASS,974.0
348350,위드텍,PASS,974.0
071320,지역난방공사,PASS,974.0
452190,한빛레이저,PASS,483.0
084110,휴온스글로벌,PASS,974.0
066430,아이로보틱스,PASS,974.0
037950,엘컴텍,PASS,974.0
001270,부국증권,PASS,974.0
054800,아이디스홀딩스,PASS,974.0
255220,SG,PASS,974.0
090370,메타랩스,PASS,974.0
000300,DH오토넥스,PASS,974.0
071090,하이스틸,PASS,974.0
096690,에이루트,PASS,974.0
013000,세우글로벌,PASS,974.0
027740,마니커,PASS,974.0
032940,원익,PASS,974.0
008970,KBI동양철관,PASS,974.0
217190,제너셈,PASS,974.0
003230,삼양식품,PASS,974.0
102460,이연제약,PASS,974.0
263770,유에스티,PASS,974.0
005110,한창,PASS,974.0
098460,고영,PASS,974.0
003690,코리안리,PASS,974.0
468530,프로티나,PASS,103.0
054780,키이스트,PASS,974.0
081580,성우전자,PASS,974.0
074430,아미노로직스,PASS,974.0
021820,세원정공,PASS,974.0
006730,서부T&D,PASS,974.0
310200,애니플러스,PASS,974.0
101490,에스앤에스텍,PASS,974.0
439580,블루엠텍,PASS,496.0
004870,티웨이홀딩스,PASS,974.0
006360,GS건설,PASS,974.0
040610,SG&G,PASS,974.0
005820,원림,PASS,974.0
450080,에코프로머티,PASS,514.0
452300,캡스톤파트너스,PASS,516.0
323410,카카오뱅크,PASS,974.0
094170,동운아나텍,PASS,974.0
101970,우양에이치씨,PASS,188.0
336260,두산퓨얼셀,PASS,974.0
031980,피에스케이홀딩스,PASS,974.0
377220,프롬바이오,PASS,974.0
044380,주연테크,PASS,974.0
032350,롯데관광개발,PASS,974.0
171120,라이온켐텍,PASS,974.0
087600,픽셀플러스,PASS,974.0
203690,아크솔루션스,PASS,974.0
900310,컬러레이,PASS,974.0
256840,한국비엔씨,PASS,974.0
067570,엔브이에이치코리아,PASS,974.0
089980,상아프론테크,PASS,974.0
006110,삼아알미늄,PASS,974.0
095500,미래나노텍,PASS,974.0
019170,신풍제약,PASS,974.0
006880,신송홀딩스,PASS,974.0
462520,조선내화,PASS,584.0
393970,대진첨단소재,PASS,200.0
308080,바이젠셀,PASS,974.0
044450,KSS해운,PASS,974.0
086960,MDS테크,PASS,974.0
356890,싸이버원,PASS,974.0
