Date,Close,ma_short,ma_long,signal,position,ret,turnover,sell_turnover,cost,strategy_ret,buyhold_ret,equity,buyhold_equity
2024-08-14,74485.2734375,76501.774609375,77139.68528645833,0,0.0,0.014454795645792107,1.0,1.0,0.00245,-0.00245,0.014454795645792107,748420.5081334376,1035375.6688349516
2024-08-16,77379.765625,76178.55390625,77185.43463541666,0,0.0,0.03885992564595675,0.0,0.0,0.0,0.0,0.03885992564595675,748420.5081334376,1075610.2903415107
2024-08-19,75546.578125,75884.27890625,77191.02565104167,0,0.0,-0.023690786411580067,0.0,0.0,0.0,-0.0,-0.023690786411580067,748420.5081334376,1050128.2366909322
2024-08-20,76125.4921875,75686.4875,77244.68697916667,0,0.0,0.007663008396517013,0.0,0.0,0.0,0.0,0.007663008396517013,748420.5081334376,1058175.3781861144
2024-08-21,75546.578125,75416.33359375,77267.887890625,0,0.0,-0.0076047332616794305,0.0,0.0,0.0,-0.0,-0.0076047332616794305,748420.5081334376,1050128.2366909322
2024-08-22,75546.578125,75237.838671875,77284.68502604167,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,748420.5081334376,1050128.2366909322
2024-08-23,74967.6875,75107.5859375,77330.25598958334,0,0.0,-0.0076626981574487996,0.0,0.0,0.0,-0.0,-0.0076626981574487996,748420.5081334376,1042081.4209865556
2024-08-26,73423.9453125,74876.025390625,77377.313671875,0,0.0,-0.020592100930150736,0.0,0.0,0.0,-0.0,-0.020592100930150736,748420.5081334376,1020622.7751881656
2024-08-27,73134.5078125,74615.5203125,77419.54739583333,0,0.0,-0.003942004189071091,0.0,0.0,0.0,-0.0,-0.003942004189071091,748420.5081334376,1016599.4759329124
2024-08-28,73713.3984375,74393.608203125,77436.208984375,0,0.0,0.007915423817223655,0.0,0.0,0.0,0.0,0.007915423817223655,748420.5081334376,1024646.291637289
2024-08-29,71397.78125,73916.014453125,77420.68059895834,0,0.0,-0.03141378957671259,0.0,0.0,0.0,-0.0,-0.03141378957671259,748420.5081334376,992458.2686412362
2024-08-30,71687.25,73491.487109375,77376.35768229167,0,0.0,0.004054310161073715,0.0,0.0,0.0,0.0,0.004054310161073715,748420.5081334376,996482.00228423
2024-09-02,71783.7265625,73240.6296875,77335.243359375,0,0.0,0.0013457980672992864,0.0,0.0,0.0,0.0,0.0013457980672992864,748420.5081334376,997823.0658370026
2024-09-03,69950.5390625,73293.6953125,77289.190625,0,0.0,-0.025537647427706256,0.0,0.0,0.0,-0.0,-0.025537647427706256,748420.5081334376,972341.0121864243
2024-09-04,67538.4609375,73173.09140625,77210.94114583333,0,0.0,-0.03448262382717071,0.0,0.0,0.0,-0.0,-0.03448262382717071,748420.5081334376,938812.1428314694
2024-09-05,66573.6171875,72898.11328125,77095.79921875,0,0.0,-0.014285841528027476,0.0,0.0,0.0,-0.0,-0.014285841528027476,748420.5081334376,925400.4213343911
2024-09-06,66477.140625,72681.025,76945.42994791667,0,0.0,-0.0014491711067505797,0.0,0.0,0.0,-0.0,-0.0014491711067505797,748420.5081334376,924059.3577816185
2024-09-09,65126.375,72333.684765625,76756.538671875,0,0.0,-0.020319249779705784,0.0,0.0,0.0,-0.0,-0.020319249779705784,748420.5081334376,905283.1648795793
2024-09-10,63872.078125,71885.0359375,76570.75638020833,0,0.0,-0.019259430223162233,0.0,0.0,0.0,-0.0,-0.019259430223162233,748420.5081334376,887847.9269333775
2024-09-11,62617.80078125,71344.7287109375,76336.8537109375,0,0.0,-0.019637334193124745,0.0,0.0,0.0,-0.0,-0.019637334193124745,748420.5081334376,870412.9604795137
2024-09-12,63968.56640625,70818.893359375,76103.05104166667,0,0.0,0.021571591594517825,0.0,0.0,0.0,0.0,0.021571591594517825,748420.5081334376,889189.153381553
2024-09-13,62135.37890625,70056.6740234375,75832.29147135417,0,0.0,-0.02865762987961673,0.0,0.0,0.0,-0.0,-0.02865762987961673,748420.5081334376,863707.0997309746
2024-09-19,60881.09375,69323.3998046875,75566.24173177083,0,0.0,-0.020186328277525534,0.0,0.0,0.0,-0.0,-0.020186328277525534,748420.5081334376,846272.0246801758
2024-09-20,60784.61328125,68556.355859375,75288.97864583334,0,0.0,-0.0015847361275437288,0.0,0.0,0.0,-0.0,-0.0015847361275437288,748420.5081334376,844930.9068289356
2024-09-23,60398.671875,67798.960546875,75002.08138020833,0,0.0,-0.006349327328352805,0.0,0.0,0.0,-0.0,-0.006349327328352805,748420.5081334376,839566.1639316367
2024-09-24,60977.578125,67070.510546875,74716.828125,0,0.0,0.009584751320328655,0.0,0.0,0.0,0.0,0.009584751320328655,748420.5081334376,847613.1968298837
2024-09-25,60012.7421875,66322.76328125,74404.86497395833,0,0.0,-0.015822798595282794,0.0,0.0,0.0,-0.0,-0.015822798595282794,748420.5081334376,834201.5839297407
2024-09-26,62424.83203125,65772.8076171875,74134.71126302083,0,0.0,0.040192961624946566,0.0,0.0,0.0,0.0,0.040192961624946566,748420.5081334376,867730.6161800985
2024-09-27,62289.9609375,65230.5802734375,73857.48548177084,0,0.0,-0.002160535949579878,0.0,0.0,0.0,-0.0,-0.002160535949579878,748420.5081334376,865855.8529892904
2024-09-30,59670.296875,64528.4251953125,73536.5986328125,0,0.0,-0.042055959308250235,0.0,0.0,0.0,-0.0,-0.042055959308250235,748420.5081334376,829441.4544691625
2024-10-02,59476.24609375,63932.3484375,73212.47760416666,0,0.0,-0.0032520498709183165,0.0,0.0,0.0,-0.0,-0.0032520498709183165,748420.5081334376,826744.0694942217
2024-10-04,58797.0703125,63287.839453125,72832.01119791667,0,0.0,-0.011419277877414147,0.0,0.0,0.0,-0.0,-0.011419277877414147,748420.5081334376,817303.2492311631
2024-10-07,59185.171875,62657.91171875,72417.81184895833,0,0.0,0.006600695586315375,0.0,0.0,0.0,0.0,0.006600695586315375,748420.5081334376,822698.0191810443
2024-10-08,58505.99609375,62085.6845703125,71987.46881510416,0,0.0,-0.011475438183814468,0.0,0.0,0.0,-0.0,-0.011475438183814468,748420.5081334376,813257.1989179857
2024-10-10,57147.6484375,61566.1439453125,71528.05423177083,0,0.0,-0.023217238350636493,0.0,0.0,0.0,-0.0,-0.023217238350636493,748420.5081334376,794375.6126903357
2024-10-11,57535.7421875,61114.2501953125,71075.10787760417,0,0.0,0.006791071209595545,0.0,0.0,0.0,0.0,0.006791071209595545,748420.5081334376,799770.2740432819
2024-10-14,57535.7421875,60667.1802734375,70625.3775390625,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,748420.5081334376,799770.2740432819
2024-10-15,59185.171875,60370.1201171875,70254.59576822916,0,0.0,0.028667913627059338,0.0,0.0,0.0,0.0,0.028667913627059338,748420.5081334376,822698.0191810443
2024-10-16,57729.796875,60063.0060546875,69822.57233072916,0,0.0,-0.024590196393680763,0.0,0.0,0.0,-0.0,-0.024590196393680763,748420.5081334376,802467.7133166903
2024-10-17,57923.84765625,59828.3083984375,69377.702734375,0,0.0,0.003361362619552777,0.0,0.0,0.0,0.0,0.003361362619552777,748420.5081334376,805165.0982916311
2024-10-18,57438.72265625,59501.8162109375,68940.82805989584,0,0.0,-0.008375220563367702,0.0,0.0,0.0,-0.0,-0.008375220563367702,748420.5081334376,798421.663003513
2024-10-21,57244.67578125,59257.2810546875,68497.50299479166,0,0.0,-0.0033783285217064973,0.0,0.0,0.0,-0.0,-0.0033783285217064973,748420.5081334376,795724.3323270399
