Date,Open,High,Low,Close,Volume,code,name,ret_cc,mom_1d,mom_3d,mom_5d,mom_10d,mom_20d,vol_10d,vol_20d,dollar_volume,oc_ret,oo_ret,cc_next_ret,situation,market_mom_20d,market_vol_20d,score,rank,trade_return
2024-11-07,5202.415641912535,5391.413533301327,5013.417750523743,5341.67724609375,207042,014710,사조씨푸드,0.024809181221890242,-0.04727276524417534,-0.24057975612856786,-0.24712648744779298,-0.2213967628093968,-0.303191531026783,0.06320599359971799,0.0461162255527226,2748447626.555664,0.026768642447418722,0.013384325855368528,0.005586596774790564,down_low_vol,-0.032431624412650906,0.007166534985350925,5.35877523552452,2.0,0.0024865967747905644
2024-11-11,5451.09713565602,5451.09713565602,5281.993757360122,5411.30810546875,83219,014710,사조씨푸드,0.007407413467533708,0.005586596774790564,-0.01818183278622132,-0.21739133218545592,-0.19523100930305137,-0.2436974737920674,0.06497637954152725,0.04557583965016529,720777282.7807617,-0.007299270072992692,-0.01094893736074476,-0.038602972525975776,down_low_vol,-0.029400439276378365,0.007202169498131499,4.769881012705984,3.0,-0.041702972525975775
2023-03-13,7730.0,7860.0,7550.0,7770.0,123553,020120,키다리스튜디오,-0.011450381679389277,-0.048426150121065326,-0.08177570093457942,-0.10376282782212087,-0.11486486486486491,-0.20203045685279186,0.019656887232405683,0.01730760121747673,1341269700.0,0.005174644243208348,-0.0077619663648124115,-0.03732303732303732,down_low_vol,-0.042235261368027355,0.009568802561346828,5.995217160269679,3.0,-0.04042303732303732
2024-07-17,45150.0,46100.0,44700.0,45100.0,230571,020150,롯데에너지머티리얼즈,0.0011098779134295356,-0.025945945945945903,-0.05456453305351516,-0.12183235867446396,-0.15794392523364487,-0.21378708551483416,0.018115719544422718,0.020752142546803656,12507817150.0,-0.001107419712070845,-0.021040974529346612,-0.022172949002217335,down_low_vol,-0.02068403041055311,0.0062998121806946555,5.870832777853541,2.0,-0.025272949002217333
2024-07-29,36800.0,37800.0,36400.0,37450.0,187418,020150,롯데에너지머티리얼즈,0.017663043478260976,-0.01866666666666672,-0.061224489795918324,-0.1645856980703746,-0.23333333333333328,-0.303030303030303,0.022562767991503425,0.02252754113951771,8741177600.0,0.017663043478260976,0.005434782608695565,0.006675567423231055,down_low_vol,-0.024494952495747846,0.006501660962049251,7.30597702834328,1.0,0.003575567423231055
2023-03-14,70264.4069584383,70350.51530029913,68283.91509563917,68370.0234375,114848,023530,롯데쇼핑,-0.03523692048404381,-0.015550209506308699,-0.03517008815682854,-0.05619270863626091,-0.0583524765047394,-0.1112312444598903,0.008766152921574195,0.009272000537043728,7430493019.1171875,-0.026960784313725616,-0.020833236119749077,-0.001259346686910412,down_low_vol,-0.03828327045132185,0.009376098094487624,6.0604729703971,3.0,-0.004359346686910412
2025-08-14,65652.79964849589,65750.35209968236,64872.38003900411,65262.58984375,74461,023530,롯데쇼핑,0.0029985094801814327,-0.005961209796237044,-0.05255677455331498,-0.07999996023359235,-0.0710305996569055,-0.12352167439156614,0.01885468603960489,0.01536841461034923,2787556098.109375,-0.005943536404160454,-0.0014859103329188939,-0.008968635900771793,down_low_vol,-0.021588433098317372,0.008515203771854243,5.205479046597276,2.0,-0.012068635900771793
2025-08-18,65555.24547511313,65750.35037236048,64579.720988876325,64677.2734375,35779,023530,롯데쇼핑,-0.008968635900771793,0.0029985094801814327,-0.013274345168292179,-0.08481534628104859,-0.0682450761031782,-0.11857700649385938,0.019004782235207348,0.01549318830654897,4859517702.355469,-0.013392857142857206,-0.016369065107719738,-0.006033200176211451,down_low_vol,-0.02729523361171471,0.008415955937662931,5.4743636108261295,2.0,-0.009133200176211451
2024-04-23,3869.150171312235,3939.259347689354,3851.622877217955,3877.913818359375,24809,024120,KB오토시스,-0.0033783253851320527,0.0,-0.02844641003875481,-0.06722696256120642,-0.0472103163367984,0.01138949070581785,0.015368586703024418,0.014201177836243563,132634530.92919922,0.0022650056625141968,0.00226499410715042,0.018079084307509374,down_low_vol,-0.03859992494291131,0.00836633071656357,4.733900478989355,2.0,0.014979084307509374
2023-07-25,2125.0,2125.0,2065.0,2065.0,39734,024800,유성티엔에스,-0.028235294117647025,-0.018475750577367167,-0.05764966740576494,-0.08798283261802575,-0.08993576017130622,-0.1182572614107884,0.015346148790603044,0.012877779400361264,102896750.0,-0.028235294117647025,-0.028235294117647025,-0.03147699757869249,down_low_vol,-0.030585709838900188,0.009712484685761667,6.832143173345363,3.0,-0.03457699757869249
