w_mom,w_lv,w_rsi,w_vol,tr_sharpe,tr_cumret,tr_mdd,te_sharpe,te_cumret,te_mdd
0.0,0.7000000000000001,0.1,0.2,-0.06392326,-0.053737104,-0.23517825,1.2602899,0.46503067,-0.13888098
0.0,0.7000000000000001,0.15000000000000002,0.15000000000000002,-0.33268127,-0.1537888,-0.31602693,1.2915065,0.47431183,-0.13050652
0.0,0.7000000000000001,0.2,0.1,-0.70479715,-0.27543992,-0.37030944,0.92062604,0.30133688,-0.13286003
0.0,0.7000000000000001,0.25,0.05,-0.47701812,-0.20422113,-0.40571398,0.83826196,0.26345515,-0.13770024
0.0,0.7000000000000001,0.30000000000000004,0.0,0.08387104,0.0038779974,-0.41276634,0.6679612,0.19484341,-0.1544634
0.0,0.75,0.0,0.25,-0.91584647,-0.3276019,-0.35913208,1.2153451,0.4441638,-0.14347504
0.0,0.75,0.05,0.2,-0.5795179,-0.22812778,-0.3100043,1.3255947,0.48551238,-0.12704737
0.0,0.75,0.1,0.15000000000000002,-0.03635305,-0.04283738,-0.2862952,1.0807034,0.37726653,-0.15431938
0.0,0.75,0.15000000000000002,0.1,-0.54022694,-0.21685112,-0.36586055,0.5153291,0.13995469,-0.17200902
0.0,0.75,0.2,0.05,-0.55315375,-0.2197957,-0.4181889,0.9362832,0.29983962,-0.10966932
0.0,0.75,0.25,0.0,-0.44949389,-0.1875273,-0.48296666,0.6655067,0.18852043,-0.12609799
0.0,0.8,0.0,0.2,-0.6411052,-0.2392742,-0.31600904,1.3673385,0.4957397,-0.13805869
0.0,0.8,0.05,0.15000000000000002,-0.13791904,-0.080204666,-0.2695073,1.2594329,0.45095384,-0.13358548
0.0,0.8,0.1,0.1,-0.47809198,-0.19314384,-0.32953,0.9299636,0.29267442,-0.1334962
0.0,0.8,0.15000000000000002,0.05,-0.45420775,-0.17851704,-0.3210793,0.8661059,0.2692331,-0.11916863
0.0,0.8,0.2,0.0,-0.6102415,-0.22407538,-0.44557026,0.91958034,0.28001523,-0.1406913
0.0,0.8500000000000001,0.0,0.15000000000000002,-0.587829,-0.21377105,-0.34718335,0.7493222,0.21614897,-0.15699257
0.0,0.8500000000000001,0.05,0.1,-0.07925489,-0.05582702,-0.26043755,1.1731936,0.3773086,-0.14355637
0.0,0.8500000000000001,0.1,0.05,-0.28315264,-0.12323952,-0.2932811,0.69791275,0.19417858,-0.12964994
0.0,0.8500000000000001,0.15000000000000002,0.0,-0.5718896,-0.2058292,-0.4088247,0.70378554,0.19093883,-0.14122064
0.0,0.9,0.0,0.1,0.13342856,0.02533865,-0.23688854,0.74956685,0.20901453,-0.13664962
0.0,0.9,0.05,0.05,0.025751138,-0.013211787,-0.27487373,1.2351213,0.38600552,-0.11364603
0.0,0.9,0.1,0.0,-0.51150954,-0.18512726,-0.35765144,0.85156286,0.2405889,-0.13791145
0.0,0.9500000000000001,0.0,0.05,0.14506648,0.029029965,-0.19037618,1.3206017,0.40555227,-0.1141288
