w_mom,w_lv,w_rsi,w_vol,train_sharpe_nosl,test_sharpe_nosl,train_sharpe_sl,test_sharpe_sl,train_cumret_sl,test_cumret_sl
0.0,0.05,0.2,0.75,-0.21980815,3.1350527,1.7469896,4.5221224,8.205012,71.615974
0.0,0.05,0.25,0.7000000000000001,-0.5652467,3.0931377,1.4492441,4.502676,4.793143,70.23237
0.0,0.05,0.30000000000000004,0.65,-0.48797458,3.1497464,1.5741308,4.6051445,5.907435,66.86734
0.0,0.05,0.35000000000000003,0.6000000000000001,-0.6209636,2.8355224,1.5061239,4.434159,4.659752,51.654793
0.0,0.05,0.4,0.55,-0.75001776,2.6605031,1.3574519,4.462163,3.6746607,37.219746
0.0,0.05,0.45,0.5,-0.5305925,2.7258186,1.5337118,4.5826893,5.044154,39.956
0.0,0.05,0.5,0.45,-0.48716027,2.5781739,1.5658395,4.4398227,5.264919,35.564503
0.0,0.05,0.55,0.4,-0.45333508,2.2952554,1.6836144,4.2491,5.507891,28.087458
0.0,0.05,0.6000000000000001,0.35000000000000003,-0.40381512,2.2472003,1.6369569,4.27269,5.019759,27.660038
0.0,0.05,0.65,0.30000000000000004,-0.34314796,2.263711,1.6908826,4.19224,5.3408656,26.38716
0.0,0.05,0.7000000000000001,0.25,-0.36811984,2.1820977,1.5814841,4.3065176,4.4960613,23.734484
0.0,0.05,0.75,0.2,-0.18907219,2.3047967,1.6741935,4.3861074,5.1548386,25.39314
0.0,0.05,0.8,0.15000000000000002,0.04218957,2.2076511,1.6471915,4.2990746,4.6595817,21.422672
0.0,0.05,0.8500000000000001,0.1,-0.17898609,2.2831228,1.3055943,4.440891,2.6634808,18.5131
0.0,0.05,0.9,0.05,0.005900177,1.9430192,1.2050049,3.8229358,2.18295,11.162692
0.0,0.05,0.9500000000000001,0.0,0.8125544,1.4569427,1.7749934,3.3020208,5.054286,7.8202686
0.0,0.1,0.0,0.9,-0.31967157,1.3454756,0.87330896,3.0588777,1.0965939,9.925268
0.0,0.1,0.05,0.8500000000000001,-0.037105173,1.5579302,1.2701942,3.1021085,2.3006592,8.411258
0.0,0.1,0.1,0.8,-0.35429433,2.297496,1.2244164,3.6807053,2.2130964,13.584613
0.0,0.1,0.15000000000000002,0.75,-0.518251,2.54862,1.0567014,3.767896,1.664823,22.999105
0.0,0.1,0.2,0.7000000000000001,-0.8049766,2.8967276,1.0287948,4.0586834,1.6338415,35.1341
0.0,0.1,0.25,0.65,-0.6085757,2.6432633,1.2161375,3.900714,2.5584252,31.456997
0.0,0.1,0.30000000000000004,0.6000000000000001,-0.531996,2.428695,1.2311373,3.9739068,2.623301,20.692583
0.0,0.1,0.35000000000000003,0.55,-0.78212214,2.113829,0.99754936,3.7479708,1.4924037,15.051018
0.0,0.1,0.4,0.5,-0.45045882,1.9583327,1.2935065,3.7545552,2.5053203,14.800584
0.0,0.1,0.45,0.45,-0.5522394,2.0129077,1.0978653,3.8264508,1.7581942,15.520334
0.0,0.1,0.5,0.4,-0.58417445,1.8160725,1.0621972,3.573675,1.6387134,12.228424
0.0,0.1,0.55,0.35000000000000003,-0.5051836,1.7748041,1.1457582,3.5182679,1.8454585,11.057333
0.0,0.1,0.6000000000000001,0.30000000000000004,-0.5989538,2.0173879,0.98722786,3.850329,1.3771884,14.208504
0.0,0.1,0.65,0.25,-0.7999982,1.5825772,0.7003211,3.481763,0.742975,8.986722
0.0,0.1,0.7000000000000001,0.2,-0.73158854,1.2820721,0.6722397,3.2231889,0.6891452,6.7196627
0.0,0.1,0.75,0.15000000000000002,-0.66223663,1.5003755,0.6349197,3.2356074,0.62389624,6.2056756
0.0,0.1,0.8,0.1,-0.3548268,2.0744276,0.8070895,3.5470402,0.9355564,7.3496447
0.0,0.1,0.8500000000000001,0.05,0.2574602,2.1683326,1.2160504,3.4334965,2.00555,7.285369
0.0,0.1,0.9,0.0,0.9751891,1.871759,1.6863146,3.3760893,4.1020513,6.630394
0.0,0.15000000000000002,0.0,0.8500000000000001,-0.48161623,0.75560814,0.4663446,2.308398,0.34010434,3.8958406
0.0,0.15000000000000002,0.05,0.8,-0.3373034,1.3191441,0.632477,2.71334,0.5847844,4.8306494
0.0,0.15000000000000002,0.1,0.75,-0.6228137,1.7069592,0.4503774,3.0974953,0.3227278,7.423458
0.0,0.15000000000000002,0.15000000000000002,0.7000000000000001,-0.6448515,2.2635334,0.66797054,3.687861,0.65661645,12.256271
0.0,0.15000000000000002,0.2,0.65,-0.87204117,2.4652047,0.57478744,3.7114289,0.51708543,16.595484
0.0,0.15000000000000002,0.25,0.6000000000000001,-0.80642337,2.361684,0.6837152,3.6593423,0.704643,15.724155
0.0,0.15000000000000002,0.30000000000000004,0.55,-1.0571026,2.1895194,0.4134676,3.6585488,0.2729175,11.490708
0.0,0.15000000000000002,0.35000000000000003,0.5,-0.7720651,2.2736983,0.70961773,3.776183,0.7435992,12.055111
0.0,0.15000000000000002,0.4,0.45,-0.7704647,1.8162456,0.6899025,3.4054196,0.7017307,8.581156
0.0,0.15000000000000002,0.45,0.4,-0.7627207,1.7956833,0.52566224,3.4087327,0.42877138,8.598306
0.0,0.15000000000000002,0.5,0.35000000000000003,-0.38481247,1.8178891,0.7622693,3.4432154,0.8084346,8.7935915
0.0,0.15000000000000002,0.55,0.30000000000000004,-0.55311924,1.8169875,0.56019974,3.2852833,0.4774444,7.3151636
0.0,0.15000000000000002,0.6000000000000001,0.25,-0.3666702,1.970391,0.6877623,3.4811752,0.6850238,7.9749746
0.0,0.15000000000000002,0.65,0.2,-0.28732663,1.734533,0.85354847,3.3105488,0.9968188,6.2163463
0.0,0.15000000000000002,0.7000000000000001,0.15000000000000002,-0.24707244,1.7729694,0.8743474,3.306416,1.0424912,5.93856
0.0,0.15000000000000002,0.75,0.1,-0.104594134,1.950414,0.80808055,3.312707,0.89823043,5.8346744
0.0,0.15000000000000002,0.8,0.05,0.55865407,1.9650452,1.3779474,3.1947072,2.3790421,4.761133
0.0,0.15000000000000002,0.8500000000000001,0.0,0.81770813,2.0263765,1.3847365,3.2996087,2.3417587,5.391908
0.0,0.2,0.0,0.8,-0.26837274,0.3917845,0.563799,1.9037992,0.4648242,2.0716488
0.0,0.2,0.05,0.75,-0.58226556,0.8961782,0.29143804,2.345614,0.12766469,2.8837352
0.0,0.2,0.1,0.7000000000000001,-0.42686483,1.9021853,0.40652707,3.378527,0.25975108,8.521454
0.0,0.2,0.15000000000000002,0.65,-0.35202798,2.1139357,0.5684994,3.4573855,0.48350608,9.464753
0.0,0.2,0.2,0.6000000000000001,-0.51984096,1.9604707,0.51305073,3.2707815,0.40634763,7.3654985
0.0,0.2,0.25,0.55,-0.6693621,1.6488099,0.39513084,3.1042573,0.2477144,5.5136614
0.0,0.2,0.30000000000000004,0.5,-0.48976,1.5744686,0.5066959,3.035417,0.3974551,5.397699
0.0,0.2,0.35000000000000003,0.45,-0.25899002,1.473304,0.7251674,2.9743571,0.7383888,5.22433
0.0,0.2,0.4,0.4,-0.23941585,1.54601,0.78894174,3.0322733,0.8597214,5.437932
0.0,0.2,0.45,0.35000000000000003,-0.0020465285,1.563798,0.96048623,3.0009928,1.1977348,5.3503957
0.0,0.2,0.5,0.30000000000000004,0.063268356,1.9838558,0.9050675,3.2977426,1.0830004,6.9982233
0.0,0.2,0.55,0.25,0.099644735,1.9887409,0.93392324,3.3258576,1.1401935,6.770746
0.0,0.2,0.6000000000000001,0.2,0.25695154,1.7556044,1.0477121,3.1236854,1.3925247,5.231433
0.0,0.2,0.65,0.15000000000000002,0.21255022,1.7719905,1.0616105,3.1510646,1.4228642,4.901781
0.0,0.2,0.7000000000000001,0.1,0.07314838,1.9359722,0.84558785,2.9994078,0.9404918,4.0813065
0.0,0.2,0.75,0.05,-0.0009200578,2.2204473,0.67280155,3.258126,0.6087557,4.52276
0.0,0.2,0.8,0.0,0.69816107,1.7506162,1.3065661,2.9561498,1.9484591,3.8350015
0.0,0.25,0.0,0.75,-0.24955386,0.1599229,0.51801366,1.514252,0.3880633,1.303235
0.0,0.25,0.05,0.7000000000000001,-0.5281105,0.74379224,0.2773631,2.1097648,0.11421037,2.3274598
0.0,0.25,0.1,0.65,-0.45086735,1.4110681,0.31876978,2.8153477,0.15584207,4.246249
0.0,0.25,0.15000000000000002,0.6000000000000001,-0.4120808,1.8310407,0.46461523,3.217511,0.33452892,5.883136
0.0,0.25,0.2,0.55,-0.34483263,1.6681652,0.50933284,2.9175177,0.39870667,4.314371
0.0,0.25,0.25,0.5,-0.25175342,1.7349261,0.5773467,2.9999359,0.49444556,4.889216
0.0,0.25,0.30000000000000004,0.45,-0.23372687,1.7821163,0.5824461,3.0871584,0.48951352,5.439878
0.0,0.25,0.35000000000000003,0.4,-0.014245414,1.6202719,0.8331059,2.925731,0.9013821,4.6228223
0.0,0.25,0.4,0.35000000000000003,0.04963531,1.5244752,0.8986447,2.8015819,1.0126593,4.2324805
0.0,0.25,0.45,0.30000000000000004,0.40826553,1.7017552,1.2046477,2.8532898,1.7302222,4.593236
0.0,0.25,0.5,0.25,0.37120807,1.8846473,1.1169039,3.1576717,1.4842854,5.35631
0.0,0.25,0.55,0.2,0.067746185,1.7624528,0.81298494,3.1526287,0.8445084,4.812692
0.0,0.25,0.6000000000000001,0.15000000000000002,-0.014902786,1.4259357,0.7228093,2.7250197,0.69711745,3.308035
0.0,0.25,0.65,0.1,-0.053366493,1.8527087,0.641602,2.8947234,0.5649116,3.574483
0.0,0.25,0.7000000000000001,0.05,-0.02866092,2.2965736,0.6287903,3.272561,0.53050256,4.5145836
0.0,0.25,0.75,0.0,0.56526524,1.5609006,1.1828933,2.79522,1.543262,3.2563534
0.0,0.30000000000000004,0.0,0.7000000000000001,-0.26912555,0.27620313,0.5085292,1.5357647,0.35404146,1.1846194
0.0,0.30000000000000004,0.05,0.65,-0.21614903,0.68157035,0.533578,2.065035,0.39017415,1.9965734
0.0,0.30000000000000004,0.1,0.6000000000000001,-0.5646206,1.1311069,0.104790114,2.4193525,-0.044700563,2.7749076
0.0,0.30000000000000004,0.15000000000000002,0.55,-0.25599802,1.5082402,0.4454361,2.914159,0.30079174,4.138897
0.0,0.30000000000000004,0.2,0.5,-0.22741699,1.6753858,0.52369523,2.9032235,0.4078207,4.334025
0.0,0.30000000000000004,0.25,0.45,-0.18219812,1.7172381,0.5633493,2.9919188,0.46341348,4.706625
0.0,0.30000000000000004,0.30000000000000004,0.4,-0.5407652,1.7844477,0.18964845,3.0256953,0.024392605,4.9000273
0.0,0.30000000000000004,0.35000000000000003,0.35000000000000003,-0.06889473,1.6098067,0.69346046,2.9062712,0.63531005,4.347167
0.0,0.30000000000000004,0.4,0.30000000000000004,0.14834441,1.1916701,0.913303,2.3752346,1.0311725,2.7533002
0.0,0.30000000000000004,0.45,0.25,0.36493298,1.4057639,1.071127,2.6249726,1.3732114,3.3214164
0.0,0.30000000000000004,0.5,0.2,0.029289277,1.4772514,0.7543412,2.6245973,0.7305647,3.2774458
0.0,0.30000000000000004,0.55,0.15000000000000002,-0.042673547,1.6501933,0.63343114,2.6926982,0.5353172,3.0384126
0.0,0.30000000000000004,0.6000000000000001,0.1,-0.06609396,2.0039487,0.58418447,2.9847164,0.46766043,3.6803975
0.0,0.30000000000000004,0.65,0.05,0.015731407,2.1610088,0.656533,3.1339686,0.5517721,3.908206
0.0,0.30000000000000004,0.7000000000000001,0.0,0.32030684,1.8449116,0.89239275,3.02255,0.937148,3.6555748
0.0,0.35000000000000003,0.0,0.65,-0.6078739,0.30802903,0.04895451,1.5457826,-0.07465702,1.178649
0.0,0.35000000000000003,0.05,0.6000000000000001,-0.1813924,0.45827597,0.5092171,1.7302405,0.35146677,1.3507729
0.0,0.35000000000000003,0.1,0.55,-1.0459334,1.0141636,-0.40601167,2.21206,-0.3812359,2.1514566
0.0,0.35000000000000003,0.15000000000000002,0.5,-0.30668128,1.5909317,0.38140178,2.803838,0.22244668,3.4230595
0.0,0.35000000000000003,0.2,0.45,-0.11760224,1.4302375,0.54304,2.6815255,0.4285134,3.1776876
0.0,0.35000000000000003,0.25,0.4,-0.11301968,1.2810502,0.55189455,2.5795336,0.4314072,2.9662793
0.0,0.35000000000000003,0.30000000000000004,0.35000000000000003,-0.3208599,1.267856,0.4077504,2.5089653,0.2522726,2.765595
0.0,0.35000000000000003,0.35000000000000003,0.30000000000000004,-0.17927444,0.9670444,0.50078505,2.1111894,0.36583543,2.0038915
0.0,0.35000000000000003,0.4,0.25,0.11707964,1.0614088,0.7791607,2.1211348,0.76739645,2.1240883
0.0,0.35000000000000003,0.45,0.2,0.12879452,1.0316516,0.775307,2.0558884,0.7733978,1.8693328
0.0,0.35000000000000003,0.5,0.15000000000000002,0.070182696,1.3889334,0.722636,2.361608,0.66663384,2.3036075
0.0,0.35000000000000003,0.55,0.1,0.01824155,1.8608474,0.655172,2.7626932,0.5496602,3.1292315
0.0,0.35000000000000003,0.6000000000000001,0.05,-0.14870676,2.0589478,0.41742054,2.9184225,0.2559483,3.2707615
0.0,0.35000000000000003,0.65,0.0,0.11211516,1.7259699,0.6699151,2.8492196,0.56725764,3.0966787
0.0,0.4,0.0,0.6000000000000001,-0.5357484,0.38335857,0.08445945,1.5709842,-0.043955386,1.1205978
0.0,0.4,0.05,0.55,-0.14285682,0.6313793,0.51597553,1.6938988,0.35731292,1.2503378
