status,rows,first_date,last_date,final_value_krw,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,trades,profit_factor,buyhold_return_pct,invested_days_pct,outperformed_buyhold,code,name,market,yfinance_symbol,violations
PASS,974.0,2022-01-04,2025-12-30,486393.12,-51.36,-16.54,-54.25,-1.321,18.0,0.637,-51.37,31.62,True,027970,한국제지,KOSPI,027970.KS,
PASS,974.0,2022-01-04,2025-12-30,641242.58,-35.88,-10.55,-56.61,-0.12,18.0,0.966,29.44,42.3,False,179290,엠아이텍,KOSDAQ,179290.KQ,
PASS,974.0,2022-01-04,2025-12-30,1461667.38,46.17,9.99,-38.83,0.47,14.0,1.135,-8.35,44.46,True,317870,엔바이오니아,KOSDAQ,317870.KQ,
PASS,974.0,2022-01-04,2025-12-30,755856.0,-24.41,-6.78,-39.19,-0.07,15.0,0.978,-68.81,33.37,True,032680,소프트센,KOSDAQ,032680.KQ,
PASS,282.0,2024-11-01,2025-12-30,744852.81,-25.51,-22.41,-30.28,-1.244,7.0,0.679,-39.43,31.56,True,336680,탑런토탈솔루션,KOSDAQ,336680.KQ,
PASS,338.0,2024-08-06,2025-12-30,707751.58,-29.22,-21.89,-42.93,-0.706,4.0,0.775,-75.37,21.3,True,460470,아이빔테크놀로지,KOSDAQ,460470.KQ,
PASS,974.0,2022-01-04,2025-12-30,469571.1,-53.04,-17.27,-59.94,-0.428,10.0,0.839,-62.73,23.31,True,091970,나노캠텍,KOSDAQ,091970.KQ,
PASS,974.0,2022-01-04,2025-12-30,938167.12,-6.18,-1.59,-37.16,0.109,15.0,1.034,-40.06,37.58,True,001780,알루코,KOSPI,001780.KS,
PASS,974.0,2022-01-04,2025-12-30,823079.54,-17.69,-4.77,-50.25,0.096,22.0,1.032,-51.53,39.63,True,175140,휴먼테크놀로지,KOSDAQ,175140.KQ,
PASS,974.0,2022-01-04,2025-12-30,610856.66,-38.91,-11.63,-57.37,-0.339,23.0,0.888,-15.87,47.43,False,039340,한국경제TV,KOSDAQ,039340.KQ,
PASS,974.0,2022-01-04,2025-12-30,4563002.57,356.3,46.35,-40.49,1.03,20.0,1.368,295.65,41.68,True,080220,제주반도체,KOSDAQ,080220.KQ,
PASS,974.0,2022-01-04,2025-12-30,790259.64,-20.97,-5.73,-20.97,-0.871,4.0,0.164,-32.02,1.23,True,208860,다산디엠씨,KOSDAQ,208860.KQ,
PASS,974.0,2022-01-04,2025-12-30,736277.27,-26.37,-7.39,-44.5,-0.176,22.0,0.954,28.12,47.23,False,003920,남양유업,KOSPI,003920.KS,
PASS,974.0,2022-01-04,2025-12-30,1336672.55,33.67,7.55,-28.37,0.43,15.0,1.134,52.81,42.71,False,058650,세아홀딩스,KOSPI,058650.KS,
