date,step,equity,cash,positions_value,open_positions,regime
2025-04-14,160,1046439.42,946439.42,100000.0,1,neutral
2025-04-21,161,1033818.06,933818.06,100000.0,1,neutral
2025-04-28,162,1042738.25,942738.25,100000.0,1,risk_on
2025-05-08,163,1047608.11,842738.25,204869.86,2,risk_on
2025-05-15,164,1052539.96,851890.23,200649.73,2,risk_on
2025-05-22,165,1055381.05,955381.05,100000.0,1,neutral
2025-05-29,166,1055247.89,855381.05,199866.84,2,neutral
2025-06-09,167,1065176.35,755381.05,309795.3,3,risk_on
2025-06-16,168,1063026.37,764297.63,298728.74,3,neutral
2025-06-23,169,1079069.69,779755.91,299313.79,3,risk_on
2025-06-30,170,1077528.82,679755.91,397772.91,4,neutral
2025-07-07,171,1082191.61,579755.91,502435.7,5,neutral
2025-07-14,172,1091115.81,479755.91,611359.9,6,neutral
2025-07-21,173,1085720.37,580427.57,505292.8,5,risk_on
2025-07-28,174,1060160.24,666874.66,393285.59,4,neutral
2025-08-04,175,1052410.78,566874.66,485536.12,5,neutral
2025-08-11,176,1044149.1,1044149.1,0.0,0,risk_off
2025-08-19,177,1044149.1,1044149.1,0.0,0,risk_off
2025-08-26,178,1044149.1,944149.1,100000.0,1,neutral
2025-09-02,179,1040124.33,844149.1,195975.23,2,neutral
2025-09-09,180,1047583.79,852537.35,195046.44,2,neutral
2025-09-16,181,1053008.11,752537.35,300470.75,3,risk_on
2025-09-24,182,1080778.16,774417.29,306360.87,3,neutral
2025-10-01,183,1065995.63,764986.27,301009.36,3,neutral
2025-10-15,184,1076402.61,776286.58,300116.03,3,neutral
2025-10-22,185,1080941.61,878536.8,202404.81,2,neutral
2025-10-29,186,1077063.4,872854.98,204208.42,2,neutral
2025-11-05,187,1070093.58,866887.16,203206.41,2,neutral
2025-11-12,188,1074420.52,766887.16,307533.36,3,neutral
2025-11-19,189,1067845.52,760907.52,306938.0,3,neutral
2025-11-26,190,1071573.03,1071573.03,0.0,0,risk_off
2025-12-03,191,1071573.03,971573.03,100000.0,1,neutral
2025-12-10,192,1077239.7,871573.03,205666.67,2,neutral
2025-12-17,193,1071056.11,866389.44,204666.67,2,risk_on
2025-12-24,194,1071193.75,766389.44,304804.3,3,neutral
