total_return_pct,max_drawdown_pct,total_trades,winning_trades,win_rate_pct,sharpe_ratio,final_equity_krw,initial_cash_krw,transaction_cost_bps,total_cost_krw,train_end,trade_year,strategy,overlay_mode,alpha,max_notional,max_positions,stop_loss_pct,take_profit_pct,trailing_stop_pct,max_holding_steps,daily_avg_pct_252,target_05pct_day
-15.63,-25.25,72,26,36.11,-2.7522,843694.9,1000000,30.0,40446.8,2023,2024,base,,10.0,100000,8,0.14,0.25,0.06,20,-0.06202380952380953,False
-5.26,-20.51,80,30,37.5,-0.6123,947374.95,1000000,30.0,61181.87,2023,2024,base,,10.0,150000,6,0.06,0.15,0.0,10,-0.020873015873015873,False
-2.07,-18.57,74,28,37.84,-0.1334,979291.4,1000000,30.0,56540.66,2023,2024,base,,10.0,150000,6,0.06,0.15,0.0,20,-0.008214285714285714,False
-13.2,-21.3,88,32,36.36,-2.0197,868031.17,1000000,30.0,64835.67,2023,2024,base,,10.0,150000,6,0.06,0.15,0.06,10,-0.052380952380952375,False
-13.2,-21.3,88,32,36.36,-2.0197,868031.17,1000000,30.0,64835.67,2023,2024,base,,10.0,150000,6,0.06,0.15,0.06,20,-0.052380952380952375,False
21.61,-21.21,69,23,33.33,1.6693,1216120.78,1000000,30.0,58242.46,2023,2024,base,,10.0,150000,6,0.06,0.25,0.0,10,0.08575396825396825,False
3.02,-16.86,66,23,34.85,0.6251,1030186.83,1000000,30.0,50906.66,2023,2024,base,,10.0,150000,6,0.06,0.25,0.0,20,0.011984126984126984,False
-8.36,-19.45,82,30,36.59,-1.0578,916355.42,1000000,30.0,60833.74,2023,2024,base,,10.0,150000,6,0.06,0.25,0.06,10,-0.03317460317460317,False
-8.36,-19.45,82,30,36.59,-1.0578,916355.42,1000000,30.0,60833.74,2023,2024,base,,10.0,150000,6,0.06,0.25,0.06,20,-0.03317460317460317,False
8.72,-19.2,67,25,37.31,0.9466,1087217.37,1000000,30.0,54951.95,2023,2024,base,,10.0,150000,6,0.1,0.15,0.0,10,0.03460317460317461,False
13.21,-15.86,61,22,36.07,1.2612,1132127.17,1000000,30.0,50360.32,2023,2024,base,,10.0,150000,6,0.1,0.15,0.0,20,0.05242063492063492,False
-9.85,-16.54,74,26,35.14,-1.3138,901499.65,1000000,30.0,54441.3,2023,2024,base,,10.0,150000,6,0.1,0.15,0.06,10,-0.03908730158730159,False
-9.85,-16.54,74,26,35.14,-1.3138,901499.65,1000000,30.0,54441.3,2023,2024,base,,10.0,150000,6,0.1,0.15,0.06,20,-0.03908730158730159,False
25.38,-15.84,58,20,34.48,2.0604,1253839.86,1000000,30.0,49456.04,2023,2024,base,,10.0,150000,6,0.1,0.25,0.0,10,0.10071428571428571,False
37.98,-13.01,55,19,34.55,2.7833,1379808.72,1000000,30.0,47296.68,2023,2024,base,,10.0,150000,6,0.1,0.25,0.0,20,0.1507142857142857,False
-14.81,-21.75,71,26,36.62,-1.999,851914.94,1000000,30.0,50117.08,2023,2024,base,,10.0,150000,6,0.1,0.25,0.06,10,-0.05876984126984127,False
-14.81,-21.75,71,26,36.62,-1.999,851914.94,1000000,30.0,50117.08,2023,2024,base,,10.0,150000,6,0.1,0.25,0.06,20,-0.05876984126984127,False
3.93,-15.22,51,23,45.1,0.7563,1039271.73,1000000,30.0,40798.11,2023,2024,base,,10.0,150000,6,0.14,0.15,0.0,10,0.015595238095238096,False
0.62,-12.31,46,18,39.13,0.2595,1006227.28,1000000,30.0,36182.5,2023,2024,base,,10.0,150000,6,0.14,0.15,0.0,20,0.0024603174603174604,False
3.22,-16.24,57,26,45.61,0.6299,1032234.39,1000000,30.0,45401.64,2023,2024,base,,10.0,150000,6,0.14,0.15,0.06,10,0.012777777777777779,False
-0.54,-16.01,56,24,42.86,0.0936,994617.73,1000000,30.0,43610.63,2023,2024,base,,10.0,150000,6,0.14,0.15,0.06,20,-0.002142857142857143,False
7.97,-17.38,48,18,37.5,1.2163,1079712.73,1000000,30.0,39550.05,2023,2024,base,,10.0,150000,6,0.14,0.25,0.0,10,0.03162698412698413,False
7.16,-15.24,44,15,34.09,1.1584,1071634.03,1000000,30.0,36147.87,2023,2024,base,,10.0,150000,6,0.14,0.25,0.0,20,0.028412698412698414,False
-1.53,-18.09,52,23,44.23,-0.0609,984749.85,1000000,30.0,40135.28,2023,2024,base,,10.0,150000,6,0.14,0.25,0.06,10,-0.006071428571428571,False
-2.62,-17.23,51,21,41.18,-0.2381,973836.03,1000000,30.0,39134.95,2023,2024,base,,10.0,150000,6,0.14,0.25,0.06,20,-0.010396825396825397,False
5.87,-22.67,107,38,35.51,0.779,1058736.4,1000000,30.0,74554.31,2023,2024,base,,10.0,150000,8,0.06,0.15,0.0,10,0.023293650793650793,False
13.28,-20.03,103,38,36.89,1.3751,1132767.74,1000000,30.0,72891.0,2023,2024,base,,10.0,150000,8,0.06,0.15,0.0,20,0.052698412698412696,False
9.77,-20.43,118,44,37.29,1.0577,1097711.14,1000000,30.0,83324.27,2023,2024,base,,10.0,150000,8,0.06,0.15,0.06,10,0.03876984126984127,False
9.77,-20.43,118,44,37.29,1.0577,1097711.14,1000000,30.0,83324.27,2023,2024,base,,10.0,150000,8,0.06,0.15,0.06,20,0.03876984126984127,False
8.66,-24.68,94,31,32.98,0.9954,1086601.01,1000000,30.0,65863.73,2023,2024,base,,10.0,150000,8,0.06,0.25,0.0,10,0.03436507936507936,False
1.75,-19.16,90,31,34.44,0.4344,1017461.64,1000000,30.0,58547.29,2023,2024,base,,10.0,150000,8,0.06,0.25,0.0,20,0.006944444444444444,False
-18.09,-24.66,107,37,34.58,-2.5907,819119.36,1000000,30.0,62335.69,2023,2024,base,,10.0,150000,8,0.06,0.25,0.06,10,-0.07178571428571429,False
-18.09,-24.66,107,37,34.58,-2.5907,819119.36,1000000,30.0,62335.69,2023,2024,base,,10.0,150000,8,0.06,0.25,0.06,20,-0.07178571428571429,False
9.67,-22.23,87,35,40.23,1.0105,1096748.94,1000000,30.0,62476.19,2023,2024,base,,10.0,150000,8,0.1,0.15,0.0,10,0.03837301587301587,False
13.35,-19.42,82,33,40.24,1.2255,1133478.75,1000000,30.0,59023.18,2023,2024,base,,10.0,150000,8,0.1,0.15,0.0,20,0.052976190476190475,False
16.1,-16.33,96,39,40.62,1.5138,1161041.07,1000000,30.0,69290.89,2023,2024,base,,10.0,150000,8,0.1,0.15,0.06,10,0.0638888888888889,False
16.1,-16.33,96,39,40.62,1.5138,1161041.07,1000000,30.0,69290.89,2023,2024,base,,10.0,150000,8,0.1,0.15,0.06,20,0.0638888888888889,False
