total_return_pct,max_drawdown_pct,total_trades,winning_trades,win_rate_pct,sharpe_ratio,final_equity_krw,initial_cash_krw,transaction_cost_bps,total_cost_krw,train_end,trade_year,max_notional,cash_fraction_per_entry,strategy,overlay_mode,alpha,stop_loss_pct,take_profit_pct,trailing_stop_pct,max_holding_steps,max_positions,daily_avg_pct_252,target_05pct_day
43.4,-15.37,108,42,38.89,3.3982,1433950.86,1000000,30.0,92114.57,2023,2024,150000,0.75,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.17222222222222222,False
45.9,-15.15,102,40,39.22,3.578,1459012.14,1000000,30.0,93355.33,2023,2024,150000,1.0,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.18214285714285713,False
31.56,-18.15,110,43,39.09,2.7625,1315583.49,1000000,30.0,86295.84,2023,2024,200000,0.25,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.12523809523809523,False
36.04,-18.7,110,42,38.18,2.8494,1360430.42,1000000,30.0,96394.29,2023,2024,200000,0.35,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.143015873015873,False
38.09,-19.84,108,42,38.89,2.8316,1380942.59,1000000,30.0,103321.94,2023,2024,200000,0.5,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.15115079365079367,False
58.34,-17.9,107,42,39.25,3.6556,1583442.23,1000000,30.0,113124.35,2023,2024,200000,0.75,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.23150793650793652,False
61.76,-16.26,95,36,37.89,3.7224,1617628.57,1000000,30.0,116065.39,2023,2024,200000,1.0,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.24507936507936506,False
31.4,-19.39,110,42,38.18,2.6622,1313977.22,1000000,30.0,88221.37,2023,2024,300000,0.25,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.12460317460317459,False
45.44,-19.64,109,43,39.45,3.0955,1454424.02,1000000,30.0,102780.97,2023,2024,300000,0.35,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.18031746031746032,False
52.51,-19.52,109,43,39.45,3.1128,1525130.43,1000000,30.0,110965.21,2023,2024,300000,0.5,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.20837301587301588,False
54.15,-18.42,111,42,37.84,2.9857,1541529.92,1000000,30.0,115749.57,2023,2024,300000,0.75,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.21488095238095237,False
42.83,-19.06,57,21,36.84,2.5005,1428282.05,1000000,30.0,104145.61,2023,2024,300000,1.0,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.16996031746031745,False
30.42,-19.99,110,42,38.18,2.5918,1304183.1,1000000,30.0,88246.4,2023,2024,500000,0.25,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.12071428571428572,False
43.49,-21.78,109,43,39.45,2.9493,1434945.95,1000000,30.0,103766.51,2023,2024,500000,0.35,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.17257936507936508,False
78.48,-19.23,108,43,39.81,3.6537,1784751.61,1000000,30.0,126637.66,2023,2024,500000,0.5,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.31142857142857144,False
108.13,-17.84,106,41,38.68,3.9333,2081277.86,1000000,30.0,146949.3,2023,2024,500000,0.75,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.4290873015873016,False
87.65,-16.6,40,16,40.0,3.6255,1876486.8,1000000,30.0,122961.05,2023,2024,500000,1.0,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,8,0.34781746031746036,False
110.12,-7.17,132,58,43.94,8.2509,2101195.36,1000000,30.0,101036.09,2024,2025,150000,0.25,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.436984126984127,False
115.29,-8.69,132,58,43.94,8.0357,2152938.48,1000000,30.0,106646.5,2024,2025,150000,0.35,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.4575,False
102.92,-9.91,129,54,41.86,7.2211,2029236.66,1000000,30.0,108227.68,2024,2025,150000,0.5,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.4084126984126984,False
110.23,-13.01,133,57,42.86,7.0855,2102270.69,1000000,30.0,113573.87,2024,2025,150000,0.75,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.43742063492063493,False
103.85,-11.46,116,52,44.83,7.167,2038543.96,1000000,30.0,107973.27,2024,2025,150000,1.0,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.4121031746031746,False
122.1,-6.67,132,57,43.18,8.5369,2220972.26,1000000,30.0,112103.02,2024,2025,200000,0.25,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.4845238095238095,False
141.15,-7.33,132,56,42.42,8.637,2411452.52,1000000,30.0,123543.48,2024,2025,200000,0.35,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.5601190476190476,True
156.18,-8.54,134,57,42.54,8.2536,2561777.0,1000000,30.0,132604.56,2024,2025,200000,0.5,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.6197619047619047,True
156.91,-9.65,133,58,43.61,7.7191,2569102.73,1000000,30.0,136159.27,2024,2025,200000,0.75,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.6226587301587302,True
143.45,-7.76,104,49,47.12,7.401,2434524.27,1000000,30.0,129658.64,2024,2025,200000,1.0,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.5692460317460317,True
135.87,-6.47,133,58,43.61,8.8225,2358745.78,1000000,30.0,120985.67,2024,2025,300000,0.25,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.5391666666666667,True
156.31,-6.41,129,56,43.41,8.9336,2563073.46,1000000,30.0,136606.64,2024,2025,300000,0.35,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.6202777777777778,True
165.34,-6.5,132,56,42.42,8.2921,2653375.08,1000000,30.0,152176.98,2024,2025,300000,0.5,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,0.6561111111111111,True
