config,symbol,side,entry_date,entry_price,exit_date,exit_price,quantity,pnl_krw,pnl_pct,holding_steps,exit_reason,entry_year,entry_ret5,entry_ret20,entry_ret60,entry_vol20,entry_volume_surge
base_t55_sl12_mp4,368600,BUY,2024-05-09,5980.0,2024-05-24,5010.0,16.722408,-16472.07,-16.47,2,stop_loss,2024,0.07553956834532372,0.1368821292775666,0.1611650485436893,0.01871505462678977,1.8618874695465883
base_t55_sl12_mp4,241710,BUY,2024-05-09,43865.9453125,2024-05-31,61134.4375,2.279673,38948.41,38.95,3,take_profit,2024,0.2398317667363259,0.22607497502470242,0.1555555601289731,0.03237179431137348,6.101075550237099
base_t55_sl12_mp4,003680,BUY,2024-05-17,5950.0,2024-05-31,7710.0,16.806723,29191.09,29.19,2,take_profit,2024,0.08775137111517362,0.21801432958034805,0.018835616438356073,0.022386559052870562,29.666545990285226
base_t55_sl12_mp4,003960,BUY,2024-05-09,40251.16796875,2024-06-17,71820.7109375,2.4844,77896.08,77.9,5,take_profit,2024,0.07086612618456711,0.19124086494247727,0.079364961314625,0.02488511931038147,3.596670103139604
base_t55_sl12_mp4,089980,BUY,2024-05-31,27449.13671875,2024-06-17,23639.470703125,3.643102,-14137.36,-14.14,2,stop_loss,2024,0.018115910531873336,0.23245619150605923,0.39800997350895484,0.03941861944885278,4.73244022199949
base_t55_sl12_mp4,092780,BUY,2024-06-17,5259.5185546875,2024-06-24,6468.82470703125,19.013147,22623.74,22.62,1,take_profit,2024,0.07450975932524151,0.1734474241009012,0.2097130188283629,0.017199183865521075,2.899455700384501
base_t55_sl12_mp4,339770,BUY,2024-05-24,4207.88232421875,2024-07-08,4333.49072265625,23.764923,2676.12,2.68,6,regime_risk_off,2024,0.1035293953437686,0.17691348034947918,0.14669924926083722,0.02069569463558942,18.281794371447262
base_t55_sl12_mp4,032350,BUY,2024-05-31,10840.0,2024-07-08,9830.0,9.225092,-9589.39,-9.59,5,regime_risk_off,2024,0.08944723618090444,0.08617234468937873,0.1859956236323852,0.025702924521952022,6.180496274644785
base_t55_sl12_mp4,002820,BUY,2024-06-17,2980.0,2024-07-08,3100.0,33.557047,3714.77,3.71,3,regime_risk_off,2024,0.051146384479717755,0.0875912408759123,0.23140495867768585,0.016616695779705305,4.675075635834777
base_t55_sl12_mp4,071970,BUY,2024-06-24,17810.0,2024-07-08,17780.0,5.614823,-467.94,-0.47,2,regime_risk_off,2024,0.11312499999999992,0.11591478696741864,0.5691629955947137,0.023719657771717893,2.0218308591792082
base_t55_sl12_mp4,071970,BUY,2024-07-15,17480.0,2024-07-22,21200.0,5.720824,20917.62,20.92,1,take_profit,2024,-0.01687289088863897,0.09250000000000003,0.384006334125099,0.039273371575705554,3.3169911193543298
base_t55_sl12_mp4,049430,BUY,2024-07-15,9433.83984375,2024-08-05,7626.76806640625,10.600138,-19397.74,-19.4,3,stop_loss,2024,0.11500555179792848,0.10054052674642455,0.2033096879597931,0.018951893815160957,7.885375992846815
base_t55_sl12_mp4,006360,BUY,2024-07-15,16629.560546875,2024-08-05,16427.23046875,6.013388,-1513.04,-1.51,3,regime_risk_off,2024,0.13403419856312038,0.18219187021671268,0.20699308302797625,0.02261976840641636,6.585388356804927
base_t55_sl12_mp4,094170,BUY,2024-07-15,21543.669921875,2024-08-05,18136.302734375,4.641735,-16068.65,-16.07,3,stop_loss,2024,0.12113391635820392,0.14233188849795186,0.06356959751709423,0.025384899538966478,4.194595212908355
base_t55_sl12_mp4,019770,BUY,2024-07-22,4143.3603515625,2024-08-05,3588.661376953125,24.134999,-13647.5,-13.65,2,stop_loss,2024,0.047561019495289125,0.10128208173100695,0.18975072669894444,0.0159720941559082,4.875440571869837
base_t55_sl12_mp4,067570,BUY,2024-08-20,2340.9072265625,2024-08-27,2288.00537109375,42.718481,-2553.11,-2.55,1,regime_risk_off,2024,0.09937887629030051,0.12978720420923184,0.05988023621142924,0.02320893481485764,5.478632568815531
