total_return_pct,max_drawdown_pct,total_trades,winning_trades,win_rate_pct,sharpe_ratio,final_equity_krw,initial_cash_krw,transaction_cost_bps,total_cost_krw,train_end,trade_year,max_positions,max_notional,cash_fraction_per_entry,strategy,overlay_mode,alpha,stop_loss_pct,take_profit_pct,trailing_stop_pct,max_holding_steps,daily_avg_pct_252,target_05pct_day
52.39,-16.82,91,34,37.36,3.371,1523934.76,1000000,30.0,110984.02,2023,2024,6,200000,1.0,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.20789682539682539,False
71.63,-10.64,102,41,40.2,4.4521,1716262.4,1000000,30.0,118852.14,2023,2024,6,300000,0.5,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.28424603174603175,False
50.7,-13.58,103,42,40.78,3.2894,1507041.12,1000000,30.0,118522.87,2023,2024,6,300000,0.75,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.2011904761904762,False
59.39,-15.73,69,24,34.78,3.4424,1593855.53,1000000,30.0,126205.36,2023,2024,6,300000,1.0,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.23567460317460318,False
83.04,-9.82,102,43,42.16,4.5446,1830446.34,1000000,30.0,133086.25,2023,2024,6,500000,0.5,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.32952380952380955,False
78.7,-13.2,105,43,40.95,3.8018,1787028.32,1000000,30.0,138839.86,2023,2024,6,500000,0.75,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.3123015873015873,False
31.35,-21.61,33,11,33.33,2.0991,1313504.94,1000000,30.0,100176.07,2023,2024,6,500000,1.0,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.1244047619047619,False
72.64,-9.75,102,43,42.16,4.2322,1726435.96,1000000,30.0,130910.16,2023,2024,6,1000000,0.5,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.28825396825396826,False
121.4,-10.12,94,33,35.11,4.2149,2214000.67,1000000,30.0,162119.82,2023,2024,6,1000000,0.75,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.48174603174603176,False
0.0,0.0,0,0,0.0,0.0,1000000.0,1000000,30.0,0.0,2023,2024,6,1000000,1.0,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.0,False
56.64,-11.09,136,55,40.44,3.8877,1566425.04,1000000,30.0,118741.83,2023,2024,8,200000,0.5,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.22476190476190477,False
53.19,-14.97,133,54,40.6,3.4324,1531895.19,1000000,30.0,118720.68,2023,2024,8,200000,0.75,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.21107142857142855,False
48.85,-16.82,93,34,36.56,3.1683,1488498.94,1000000,30.0,113281.97,2023,2024,8,200000,1.0,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.19384920634920635,False
80.24,-10.62,138,55,39.86,4.4943,1802375.38,1000000,30.0,133735.15,2023,2024,8,300000,0.5,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.31841269841269837,False
49.71,-13.44,130,53,40.77,3.2236,1497145.36,1000000,30.0,120564.75,2023,2024,8,300000,0.75,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.19726190476190478,False
59.39,-15.73,69,24,34.78,3.4424,1593855.53,1000000,30.0,126205.36,2023,2024,8,300000,1.0,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.23567460317460318,False
90.26,-9.73,136,55,40.44,4.4706,1902595.1,1000000,30.0,146216.13,2023,2024,8,500000,0.5,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.3581746031746032,False
68.47,-13.12,125,49,39.2,3.5548,1684672.98,1000000,30.0,136111.64,2023,2024,8,500000,0.75,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.27170634920634923,False
31.35,-21.61,33,11,33.33,2.0991,1313504.94,1000000,30.0,100176.07,2023,2024,8,500000,1.0,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.1244047619047619,False
81.41,-10.95,135,55,40.74,4.1997,1814147.78,1000000,30.0,142847.05,2023,2024,8,1000000,0.5,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.32305555555555554,False
122.08,-10.11,118,44,37.29,4.2756,2220798.83,1000000,30.0,165916.04,2023,2024,8,1000000,0.75,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.48444444444444446,False
0.0,0.0,0,0,0.0,0.0,1000000.0,1000000,30.0,0.0,2023,2024,8,1000000,1.0,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,0.0,False
