total_return_pct,max_drawdown_pct,total_trades,winning_trades,win_rate_pct,sharpe_ratio,final_equity_krw,initial_cash_krw,transaction_cost_bps,total_cost_krw,strategy,train_end,trade_year,max_notional,max_positions,daily_avg_pct_252,target_05pct_day
-16.24,-16.24,39,13,33.33,-2.583,837560.79,1000000,30.0,32898.21,fusion_rerank,2023,2024,500000,4,-0.06444444444444444,False
-23.01,-23.01,67,20,29.85,-4.0491,769871.22,1000000,30.0,42039.95,fusion_rerank,2023,2024,500000,6,-0.09130952380952381,False
-16.59,-17.07,90,31,34.44,-2.4966,834068.43,1000000,30.0,48612.44,fusion_rerank,2023,2024,500000,8,-0.06583333333333333,False
1.75,-8.19,41,16,39.02,0.4491,1017466.49,1000000,30.0,24665.17,ml_rerank,2023,2024,100000,4,0.006944444444444444,False
-9.92,-16.67,63,22,34.92,-1.5667,900791.86,1000000,30.0,37548.84,ml_rerank,2023,2024,100000,6,-0.03936507936507937,False
-5.14,-13.71,89,33,37.08,-0.5705,948558.36,1000000,30.0,50970.16,ml_rerank,2023,2024,100000,8,-0.020396825396825396,False
-5.78,-13.23,41,16,39.02,-0.5342,942159.09,1000000,30.0,35464.64,ml_rerank,2023,2024,150000,4,-0.02293650793650794,False
-14.47,-21.86,60,20,33.33,-1.8825,855302.2,1000000,30.0,41608.35,ml_rerank,2023,2024,150000,6,-0.05742063492063492,False
-8.95,-16.27,86,31,36.05,-1.0135,910521.97,1000000,30.0,51247.65,ml_rerank,2023,2024,150000,8,-0.035515873015873015,False
-9.98,-15.83,41,16,39.02,-1.0369,900230.55,1000000,30.0,36794.59,ml_rerank,2023,2024,200000,4,-0.039603174603174605,False
-20.18,-25.63,63,20,31.75,-2.6884,798227.47,1000000,30.0,42454.04,ml_rerank,2023,2024,200000,6,-0.08007936507936508,False
-12.47,-18.0,86,31,36.05,-1.4761,875282.02,1000000,30.0,50480.34,ml_rerank,2023,2024,200000,8,-0.049484126984126985,False
-10.67,-16.56,41,15,36.59,-1.0804,893336.22,1000000,30.0,36822.02,ml_rerank,2023,2024,300000,4,-0.04234126984126984,False
-20.28,-25.79,63,20,31.75,-2.5893,797176.52,1000000,30.0,42311.42,ml_rerank,2023,2024,300000,6,-0.08047619047619048,False
-13.32,-18.89,86,30,34.88,-1.5221,866789.17,1000000,30.0,50013.56,ml_rerank,2023,2024,300000,8,-0.05285714285714286,False
-10.67,-16.56,41,15,36.59,-1.0804,893336.22,1000000,30.0,36822.02,ml_rerank,2023,2024,500000,4,-0.04234126984126984,False
