model,min_pred,top_n,score_mode,code,entry_date,exit_date,pnl_pct,pnl_krw,exit_reason,holding_steps
lgbm,0.0,4,hybrid,071950,2023-03-23,2023-06-07,5.903555555555547,5903.5555555555475,time_exit,10
lgbm,0.0,4,hybrid,238090,2023-04-13,2023-06-28,-3.22697247706422,-3226.9724770642206,time_exit,10
lgbm,0.0,4,hybrid,307930,2023-05-30,2023-07-12,32.52377153967122,32523.771539671216,take_profit,6
lgbm,0.0,4,hybrid,204840,2023-05-08,2023-07-19,-5.440407673860915,-5440.407673860915,time_exit,10
lgbm,0.0,4,hybrid,009440,2023-06-07,2023-07-26,-24.924695211561005,-24924.695211561004,stop_loss,7
lgbm,0.0,4,hybrid,005110,2023-07-19,2023-08-17,-29.059615384615377,-29059.615384615376,stop_loss,4
lgbm,0.0,4,hybrid,336060,2023-06-28,2023-08-31,28.444027517198233,28444.027517198236,take_profit,9
lgbm,0.0,4,hybrid,002820,2023-07-12,2023-09-21,-10.68541666666667,-10685.416666666672,time_exit,10
lgbm,0.0,4,hybrid,008600,2023-07-26,2023-10-12,5.025854700854703,5025.854700854703,time_exit,10
lgbm,0.0,4,hybrid,217730,2023-08-31,2023-10-19,-17.69496491863244,-17694.96491863244,stop_loss,6
lgbm,0.0,4,hybrid,033560,2023-08-17,2023-10-26,-18.910666666666657,-18910.666666666657,stop_loss,9
lgbm,0.0,4,hybrid,081580,2023-09-21,2023-10-26,-12.437397797139653,-12437.397797139653,stop_loss,4
lgbm,0.0,4,hybrid,069920,2023-10-26,2023-11-16,-15.22601744186046,-15226.017441860458,stop_loss,3
lgbm,0.0,4,hybrid,011230,2023-10-12,2023-11-30,-12.589229767439827,-12589.229767439829,stop_loss,7
lgbm,0.0,4,hybrid,307930,2023-10-19,2023-12-14,37.03535652332925,37035.35652332925,take_profit,8
lgbm,0.0,4,hybrid,082660,2023-12-14,2023-12-21,-13.876170212765967,-13876.170212765966,stop_loss,1
lgbm,0.0,4,hybrid,046070,2023-12-21,2024-01-02,21.373913043478257,21373.913043478256,take_profit,1
lgbm,0.0,4,hybrid,005110,2023-11-02,2024-01-16,4.330030959752331,4330.03095975233,time_exit,10
lgbm,0.0,4,hybrid,317690,2023-11-16,2024-01-30,-7.428808290155445,-7428.808290155444,time_exit,10
lgbm,0.0,4,hybrid,000300,2024-01-02,2024-01-30,28.52891870807986,28528.91870807986,take_profit,4
lgbm,0.0,4,hybrid,276730,2023-11-30,2024-02-15,-9.852095808383238,-9852.095808383237,time_exit,10
lgbm,0.0,4,hybrid,000300,2024-02-06,2024-02-15,31.211401069741783,31211.401069741783,take_profit,1
lgbm,0.0,4,hybrid,046070,2024-01-16,2024-03-08,-17.4359375,-17435.9375,stop_loss,7
lgbm,0.0,4,hybrid,058110,2024-01-30,2024-03-22,19.73936877076412,19739.368770764122,take_profit,7
lgbm,0.0,4,hybrid,241820,2024-03-08,2024-03-22,22.658804780876483,22658.804780876482,take_profit,2
lgbm,0.0,4,hybrid,071950,2024-02-15,2024-04-15,-14.75192660550459,-14751.926605504588,stop_loss,8
lgbm,0.0,4,hybrid,377220,2024-03-22,2024-04-15,-14.331851851851853,-14331.851851851854,stop_loss,3
lgbm,0.0,4,hybrid,340360,2024-04-22,2024-04-29,26.160663507109,26160.663507109,take_profit,1
