model,min_pred,top_n,score_mode,code,entry_date,exit_date,pnl_pct,pnl_krw,exit_reason,holding_steps
lgbm,0.01,4,ml,276730,2023-11-30,2024-02-15,-9.852095808383238,-9852.095808383237,time_exit,10
lgbm,0.01,4,ml,000300,2024-02-06,2024-02-15,31.211401069741783,31211.401069741783,take_profit,1
lgbm,0.01,4,ml,046070,2024-01-16,2024-03-08,-17.4359375,-17435.9375,stop_loss,7
lgbm,0.01,4,ml,058110,2024-01-30,2024-03-22,19.73936877076412,19739.368770764122,take_profit,7
lgbm,0.01,4,ml,241820,2024-03-08,2024-03-22,22.658804780876483,22658.804780876482,take_profit,2
lgbm,0.01,4,ml,071950,2024-02-15,2024-04-15,-14.75192660550459,-14751.926605504588,stop_loss,8
lgbm,0.01,4,ml,377220,2024-03-22,2024-04-15,-14.331851851851853,-14331.851851851854,stop_loss,3
lgbm,0.01,4,ml,340360,2024-04-22,2024-04-29,26.160663507109,26160.663507109,take_profit,1
lgbm,0.01,4,ml,288330,2024-04-29,2024-06-07,20.441367304795772,20441.36730479577,take_profit,5
lgbm,0.01,4,ml,035290,2024-04-15,2024-06-28,5.636602451838873,5636.602451838873,time_exit,10
lgbm,0.01,4,ml,356890,2024-06-07,2024-07-05,-13.082049048939764,-13082.049048939763,stop_loss,4
lgbm,0.01,4,ml,203690,2024-06-28,2024-07-05,-12.364537815126052,-12364.537815126052,stop_loss,1
lgbm,0.01,4,ml,288330,2024-07-12,2024-07-26,46.81359574942206,46813.595749422064,take_profit,2
lgbm,0.01,4,ml,424760,2024-07-26,2024-09-09,-23.568242245199407,-23568.242245199406,stop_loss,6
lgbm,0.01,4,ml,356890,2024-07-05,2024-09-19,-4.930029627449796,-4930.029627449796,time_exit,10
lgbm,0.01,4,ml,080720,2024-09-19,2024-10-07,20.699803149606304,20699.803149606305,take_profit,2
lgbm,0.01,4,ml,119650,2024-10-07,2024-10-15,-24.13073170731707,-24130.73170731707,stop_loss,1
lgbm,0.01,4,ml,352090,2024-09-09,2024-10-29,-13.584392911949559,-13584.392911949559,stop_loss,6
