total_return_pct,max_drawdown_pct,total_trades,winning_trades,win_rate_pct,sharpe_ratio,final_equity_krw,initial_cash_krw,transaction_cost_bps,total_cost_krw,strategy,overlay_mode,alpha,stop_loss_pct,take_profit_pct,trailing_stop_pct,max_holding_steps,max_positions,train_end,trade_year,cash_fraction_per_entry,max_notional,daily_avg_pct_252,target_05pct_day
164.8,-6.23,129,56,43.41,8.8415,2648042.18,1000000,30.0,143884.41,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.4,300000,0.653968253968254,True
160.55,-7.04,127,54,42.52,8.0238,2605505.85,1000000,30.0,147754.44,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.4,500000,0.6371031746031747,True
87.49,-8.19,128,62,48.44,8.4582,1874929.43,1000000,30.0,79753.19,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.5,100000,0.34718253968253965,False
102.92,-9.91,129,54,41.86,7.2211,2029236.66,1000000,30.0,108227.68,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.5,150000,0.4084126984126984,False
156.18,-8.54,134,57,42.54,8.2536,2561777.0,1000000,30.0,132604.56,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.5,200000,0.6197619047619047,True
165.34,-6.5,132,56,42.42,8.2921,2653375.08,1000000,30.0,152176.98,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.5,300000,0.6561111111111111,True
170.25,-8.18,127,60,47.24,7.6345,2702549.44,1000000,30.0,159474.57,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.5,500000,0.6755952380952381,True
87.49,-8.19,128,62,48.44,8.4582,1874929.43,1000000,30.0,79753.19,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.6,100000,0.34718253968253965,False
110.53,-12.36,133,57,42.86,7.1921,2105312.63,1000000,30.0,112556.56,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.6,150000,0.4386111111111111,False
150.42,-5.29,129,56,43.41,7.8874,2504166.27,1000000,30.0,132683.99,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.6,200000,0.5969047619047618,True
175.7,-6.38,127,58,45.67,8.6204,2757006.12,1000000,30.0,157289.2,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.6,300000,0.6972222222222222,True
188.42,-9.37,120,61,50.83,7.6739,2884154.47,1000000,30.0,168650.2,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.6,500000,0.7476984126984126,True
87.49,-8.19,128,62,48.44,8.4582,1874929.43,1000000,30.0,79753.19,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.8,100000,0.34718253968253965,False
110.11,-13.16,133,57,42.86,7.0574,2101080.76,1000000,30.0,113771.83,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.8,150000,0.43694444444444447,False
148.66,-9.42,132,59,44.7,7.4592,2486557.23,1000000,30.0,135322.46,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.8,200000,0.589920634920635,True
153.33,-7.39,117,56,47.86,7.0536,2533331.89,1000000,30.0,153517.73,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.8,300000,0.608452380952381,True
212.19,-13.66,114,62,54.39,7.61,3121945.41,1000000,30.0,180905.96,fusion_rerank,rerank,10.0,0.06,0.25,0.06,20,8,2024,2025,0.8,500000,0.8420238095238095,True
