total_return_pct,max_drawdown_pct,total_trades,winning_trades,win_rate_pct,sharpe_ratio,final_equity_krw,initial_cash_krw,transaction_cost_bps,total_cost_krw,candidate,overlay,alpha,year,cost_bps,objective
12.9,-5.82,14,7,50.0,4.2614,1128980.0,1000000,30.0,8813.38,sentiment_hybrid_a0p35,hybrid,0.35,2026,30.0,18.512800000000002
12.9,-5.82,14,7,50.0,4.2614,1128980.0,1000000,30.0,8813.38,sentiment_hybrid_a0p4,hybrid,0.4,2026,30.0,18.512800000000002
12.9,-5.82,14,7,50.0,4.2614,1128980.0,1000000,30.0,8813.38,sentiment_hybrid_a0p45,hybrid,0.45,2026,30.0,18.512800000000002
12.9,-5.82,14,7,50.0,4.2614,1128980.0,1000000,30.0,8813.38,sentiment_hybrid_a0p5,hybrid,0.5,2026,30.0,18.512800000000002
12.9,-5.82,14,7,50.0,4.2614,1128980.0,1000000,30.0,8813.38,sentiment_hybrid_a0p55,hybrid,0.55,2026,30.0,18.512800000000002
12.9,-5.82,14,7,50.0,4.2614,1128980.0,1000000,30.0,8813.38,sentiment_hybrid_a0p6,hybrid,0.6,2026,30.0,18.512800000000002
6.25,-8.33,14,6,42.86,2.0376,1062469.71,1000000,30.0,8613.25,sentiment_hybrid_a0p7,hybrid,0.7,2026,30.0,6.160199999999999
6.25,-8.33,14,6,42.86,2.0376,1062469.71,1000000,30.0,8613.25,sentiment_hybrid_a0p75,hybrid,0.75,2026,30.0,6.160199999999999
5.27,-8.4,14,6,42.86,1.7422,1052672.56,1000000,30.0,8583.77,sentiment_hybrid_a0p9,hybrid,0.9,2026,30.0,4.5544
6.21,-7.57,14,6,42.86,2.1024,1062144.45,1000000,30.0,8612.27,sentiment_hybrid_a1p0,hybrid,1.0,2026,30.0,6.6297999999999995
4.88,-7.22,14,5,35.71,1.8765,1048766.05,1000000,30.0,8572.01,sentiment_hybrid_a1p25,hybrid,1.25,2026,30.0,5.023
4.88,-7.22,14,5,35.71,1.8765,1048766.05,1000000,30.0,8572.01,sentiment_hybrid_a1p5,hybrid,1.5,2026,30.0,5.023
6.93,-5.52,13,6,46.15,2.9277,1069324.67,1000000,30.0,8032.07,sentiment_hybrid_a2p0,hybrid,2.0,2026,30.0,10.0254
0.53,-10.75,20,7,35.0,0.3506,1005253.73,1000000,50.0,20126.9,canonical_base,none,,2026,50.0,-4.1438
8.59,-9.8,20,11,55.0,3.0407,1085938.45,1000000,50.0,20532.35,sentiment_rerank,rerank,,2026,50.0,9.7714
8.11,-5.61,15,5,33.33,2.8317,1081091.15,1000000,50.0,15482.87,sentiment_hybrid_a0p1,hybrid,0.1,2026,50.0,10.968399999999999
10.36,-6.28,14,6,42.86,3.0232,1103587.88,1000000,50.0,14590.89,sentiment_hybrid_a0p2,hybrid,0.2,2026,50.0,13.266399999999997
7.35,-7.76,13,5,38.46,2.2711,1073546.58,1000000,50.0,13434.91,sentiment_hybrid_a0p25,hybrid,0.25,2026,50.0,8.0122
8.36,-7.14,14,6,42.86,2.6279,1083641.49,1000000,50.0,14490.66,sentiment_hybrid_a0p3,hybrid,0.3,2026,50.0,10.0458
12.31,-5.91,14,7,50.0,4.0809,1123104.41,1000000,50.0,14688.97,sentiment_hybrid_a0p35,hybrid,0.35,2026,50.0,17.516800000000003
12.31,-5.91,14,7,50.0,4.0809,1123104.41,1000000,50.0,14688.97,sentiment_hybrid_a0p4,hybrid,0.4,2026,50.0,17.516800000000003
12.31,-5.91,14,7,50.0,4.0809,1123104.41,1000000,50.0,14688.97,sentiment_hybrid_a0p45,hybrid,0.45,2026,50.0,17.516800000000003
12.31,-5.91,14,7,50.0,4.0809,1123104.41,1000000,50.0,14688.97,sentiment_hybrid_a0p5,hybrid,0.5,2026,50.0,17.516800000000003
12.31,-5.91,14,7,50.0,4.0809,1123104.41,1000000,50.0,14688.97,sentiment_hybrid_a0p55,hybrid,0.55,2026,50.0,17.516800000000003
12.31,-5.91,14,7,50.0,4.0809,1123104.41,1000000,50.0,14688.97,sentiment_hybrid_a0p6,hybrid,0.6,2026,50.0,17.516800000000003
5.67,-8.45,14,6,42.86,1.8685,1056727.55,1000000,50.0,14355.41,sentiment_hybrid_a0p7,hybrid,0.7,2026,50.0,5.182
5.67,-8.45,14,6,42.86,1.8685,1056727.55,1000000,50.0,14355.41,sentiment_hybrid_a0p75,hybrid,0.75,2026,50.0,5.182
4.7,-8.53,14,6,42.86,1.5749,1046950.05,1000000,50.0,14306.28,sentiment_hybrid_a0p9,hybrid,0.9,2026,50.0,3.5848000000000004
5.64,-7.7,14,6,42.86,1.9264,1056402.94,1000000,50.0,14353.78,sentiment_hybrid_a1p0,hybrid,1.0,2026,50.0,5.642799999999999
4.31,-7.34,14,5,35.71,1.6756,1043051.38,1000000,50.0,14286.69,sentiment_hybrid_a1p25,hybrid,1.25,2026,50.0,3.991199999999999
4.31,-7.34,14,5,35.71,1.6756,1043051.38,1000000,50.0,14286.69,sentiment_hybrid_a1p5,hybrid,1.5,2026,50.0,3.991199999999999
6.4,-5.6,13,6,46.15,2.7093,1063969.95,1000000,50.0,13386.78,sentiment_hybrid_a2p0,hybrid,2.0,2026,50.0,9.0186
