symbol,side,entry_date,entry_price,exit_date,exit_price,quantity,pnl_krw,pnl_pct,holding_steps,exit_reason,exit_year,entry_year,name,is_loss
333620,BUY,2023-06-15,14276.60546875,2023-07-27,13395.21484375,7.004466,-6173.67,-6.17,6,regime_risk_off,2023,2023,엔시스,True
066430,BUY,2023-06-29,1243.0,2023-07-27,1161.0,80.450523,-6596.94,-6.6,4,regime_risk_off,2023,2023,아이로보틱스,True
092780,BUY,2023-07-06,5198.63525390625,2023-07-27,5245.63916015625,19.235818,904.16,0.9,3,regime_risk_off,2023,2023,DYP,False
092870,BUY,2023-07-13,14549.9892578125,2023-07-27,14835.283203125,6.872857,1960.78,1.96,2,regime_risk_off,2023,2023,엑시콘,False
175140,BUY,2023-08-03,11980.0,2023-08-10,12430.0,8.347245,3756.26,3.76,1,regime_risk_off,2023,2023,휴먼테크놀로지,False
323410,BUY,2023-08-03,27334.919921875,2023-08-10,26756.400390625,3.658324,-2116.41,-2.12,1,regime_risk_off,2023,2023,카카오뱅크,True
228760,BUY,2023-08-03,17470.0,2023-08-10,22250.0,5.724098,27361.19,27.36,1,take_profit,2023,2023,지노믹트리,False
130660,BUY,2023-08-03,7640.11865234375,2023-08-10,7381.88671875,13.088802,-3379.95,-3.38,1,regime_risk_off,2023,2023,한전산업,True
088910,BUY,2023-08-25,3043.5615234375,2023-09-22,2898.630126953125,32.856244,-4761.9,-4.76,4,regime_risk_off,2023,2023,동우팜투테이블,True
060540,BUY,2023-08-25,2382.24853515625,2023-09-22,2552.408935546875,41.977148,7142.85,7.14,4,regime_risk_off,2023,2023,에스에이티,False
017810,BUY,2023-08-25,11050.619140625,2023-09-22,10709.25,9.049267,-3089.14,-3.09,4,regime_risk_off,2023,2023,풀무원,True
082640,BUY,2023-08-25,3828.4931640625,2023-09-22,4475.890625,26.119937,16909.98,16.91,4,regime_risk_off,2023,2023,동양생명,False
002210,BUY,2023-11-03,6900.0,2023-11-10,6380.0,14.492754,-7536.23,-7.54,1,regime_risk_off,2023,2023,동성제약,True
002290,BUY,2023-11-03,3616.947021484375,2023-11-10,3457.818603515625,27.647626,-4399.52,-4.4,1,regime_risk_off,2023,2023,삼일기업공사,True
377480,BUY,2023-11-03,28200.0,2023-11-10,28650.0,3.546099,1595.74,1.6,1,regime_risk_off,2023,2023,마음AI,False
101730,BUY,2023-11-03,11010.0,2023-11-10,12990.0,9.082652,17983.65,17.98,1,regime_risk_off,2023,2023,위메이드맥스,False
000120,BUY,2023-11-17,85581.1796875,2023-12-01,111431.78125,1.168481,30205.94,30.21,2,take_profit,2023,2023,CJ대한통운,False
060540,BUY,2023-11-17,2665.849365234375,2023-12-15,3270.864990234375,37.511497,22695.04,22.7,4,take_profit,2023,2023,에스에이티,False
